-- S03 utility data: whole table (1,701 rows)
RECORD_ID | DATA_YEAR | UTILITY_NUMBER | UTILITY_NAME | STATE | OWNERSHIP_TYPE | NERC_REGION | NERC_TRE | NERC_FRCC | NERC_MRO | NERC_NPCC | NERC_RFC | NERC_SERC | NERC_SPP | NERC_WECC | RTO_CAISO | RTO_ERCOT | RTO_PJM | RTO_NYISO | RTO_SPP | RTO_MISO | RTO_ISONE | RTO_OTHER | ACTIVITY_GENERATION | ACTIVITY_TRANSMISSION | ACTIVITY_BUYING_TRANSMISSION | ACTIVITY_DISTRIBUTION | ACTIVITY_BUYING_DISTRIBUTION | ACTIVITY_WHOLESALE_MARKETING | ACTIVITY_RETAIL_MARKETING | ACTIVITY_BUNDLED | ALT_FUEL_VEHICLE | ALT_FUEL_VEHICLE_2 | _LOADED_AT | _SOURCE_RUN_ID | _SRC_FILE
f65f9e175ed36c21acd1aa0fa9cd3814-1 | 2024 | 4432 | Coweta-Fayette El Member Corp | GA | Cooperative | SERC |  |  |  |  |  | Y |  |  |  |  |  |  |  |  |  | Y |  |  |  | Y |  |  |  |  |  | Y | 2026-08-05 21:38:44.000854 | e3041a5f-83b5-459a-bbbe-241468b24422 | Utility_Data_2024.xlsx
fbae7f2da3a408f0f7c304d9c15e884e-1 | 2024 | 1889 | Blue Ridge Elec Member Corp - (NC) | NC | Cooperative | SERC |  |  |  |  |  | Y |  |  |  |  |  |  |  |  |  | Y |  | N |  | Y |  |  |  |  | Y | Y | 2026-08-05 21:38:44.000854 | e3041a5f-83b5-459a-bbbe-241468b24422 | Utility_Data_2024.xlsx
87c0e2491b086184fb667728a17d52d5-1 | 2024 | 6641 | 4-County Electric Power Assn | MS | Cooperative | SERC |  |  |  |  |  | Y |  |  |  |  |  |  |  |  |  |  |  |  |  | Y |  |  |  |  |  |  | 2026-08-05 21:38:44.000854 | e3041a5f-83b5-459a-bbbe-241468b24422 | Utility_Data_2024.xlsx
bfa8a2445be61cf93027cdaf901fd332-1 | 2024 | 61431 | Pioneer Community Energy | CA | Community Choice Aggregator |  |  |  |  |  |  |  |  | Y | Y |  |  |  |  |  |  |  |  |  |  |  |  |  | Y |  | N |  | 2026-08-05 21:38:44.000854 | e3041a5f-83b5-459a-bbbe-241468b24422 | Utility_Data_2024.xlsx
d7270f24568b451c37c5db01bca72148-1 | 2024 | 9612 | City of Jackson - (TN) | TN | Municipal | SERC |  |  |  |  |  | Y |  |  |  |  |  |  |  |  |  |  |  |  |  | Y |  |  |  |  |  |  | 2026-08-05 21:38:44.000854 | e3041a5f-83b5-459a-bbbe-241468b24422 | Utility_Data_2024.xlsx
f5150b49203e1523201a542f8c7c71ac-1 | 2024 | 15787 | Redlands Water & Power Company | CO | Investor Owned | WECC |  |  |  |  |  |  |  | Y |  |  |  |  |  |  |  | Y | Y |  |  |  |  |  |  |  |  |  | 2026-08-05 21:38:44.000854 | e3041a5f-83b5-459a-bbbe-241468b24422 | Utility_Data_2024.xlsx
532feb6ccf843b8b42151941246d7dc6-1 | 2024 | 18336 | Superior Water and Light Co | WI | Investor Owned | MRO |  |  | Y |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | Y |  |  | 2026-08-05 21:38:44.000854 | e3041a5f-83b5-459a-bbbe-241468b24422 | Utility_Data_2024.xlsx
f91cc84162c88053010ff9a53ec4e92c-1 | 2024 | 16060 | Riverland Energy Cooperative | WI | Cooperative | MRO |  |  | Y |  | N |  |  |  |  |  |  |  |  | Y |  |  |  |  |  | Y |  |  |  |  |  |  | 2026-08-05 21:38:44.000854 | e3041a5f-83b5-459a-bbbe-241468b24422 | Utility_Data_2024.xlsx
2b19be4a11ebb164da3e79e877d4a404-1 | 2024 | 14246 | City of Owatonna - (MN) | MN | Municipal | MRO |  |  | Y |  |  |  |  |  |  |  |  |  |  | Y |  |  |  |  |  | Y |  |  |  | Y | N | N | 2026-08-05 21:38:44.000854 | e3041a5f-83b5-459a-bbbe-241468b24422 | Utility_Data_2024.xlsx
e96cf9dbbc0e97bc52f7a24855e9c622-1 | 2024 | 60758 | Apple Valley Choice Energy | CA | Community Choice Aggregator |  |  |  |  |  |  |  |  | Y | Y |  |  |  |  |  |  |  |  |  |  |  |  |  | Y |  | N |  | 2026-08-05 21:38:44.000854 | e3041a5f-83b5-459a-bbbe-241468b24422 | Utility_Data_2024.xlsx
