-- S09 advanced meters: whole table, smart-meter counts per utility-state, the precondition for time-varying rates
RECORD_ID | DATA_YEAR | UTILITY_NUMBER | UTILITY_NAME | OWNERSHIP | SHORT_FORM | STATE | BA_CODE | RESIDENTIAL_AMR_METERS | COMMERCIAL_AMR_METERS | INDUSTRIAL_AMR_METERS | TRANSPORTATION_AMR_METERS | TOTAL_AMR_METERS | RESIDENTIAL_AMI_METERS | COMMERCIAL_AMI_METERS | INDUSTRIAL_AMI_METERS | TRANSPORTATION_AMI_METERS | TOTAL_AMI_METERS | RESIDENTIAL_AMI_HOME_AREA_NETWORK_METERS | COMMERCIAL_AMI_HOME_AREA_NETWORK_METERS | INDUSTRIAL_AMI_HOME_AREA_NETWORK_METERS | TRANSPORTATION_AMI_HOME_AREA_NETWORK_METERS | TOTAL_AMI_HOME_AREA_NETWORK_METERS | RESIDENTIAL_NON_AMR_AMI_METERS | COMMERCIAL_NON_AMR_AMI_METERS | INDUSTRIAL_NON_AMR_AMI_METERS | TRANSPORTATION_NON_AMR_AMI_METERS | TOTAL_NON_AMR_AMI_METERS | RESIDENTIAL_TOTAL_METERS | COMMERCIAL_TOTAL_METERS | INDUSTRIAL_TOTAL_METERS | TRANSPORTATION_TOTAL_METERS | TOTAL_TOTAL_METERS | RESIDENTIAL_ENERGY_SERVED_AMI_MWH | COMMERCIAL_ENERGY_SERVED_AMI_MWH | INDUSTRIAL_ENERGY_SERVED_AMI_MWH | TRANSPORTATION_ENERGY_SERVED_AMI_MWH | TOTAL_ENERGY_SERVED_AMI_MWH | RESIDENTIAL_AMI_DAILY_DIGITAL_ACCESS_METERS | COMMERCIAL_AMI_DAILY_DIGITAL_ACCESS_METERS | INDUSTRIAL_AMI_DAILY_DIGITAL_ACCESS_METERS | TRANSPORTATION_AMI_DAILY_DIGITAL_ACCESS_METERS | TOTAL_AMI_DAILY_DIGITAL_ACCESS_METERS | RESIDENTIAL_ENERGY_SERVED_DAILY_DIGITAL_ACCESS_MWH | COMMERCIAL_ENERGY_SERVED_DAILY_DIGITAL_ACCESS_MWH | INDUSTRIAL_ENERGY_SERVED_DAILY_DIGITAL_ACCESS_MWH | TRANSPORTATION_ENERGY_SERVED_DAILY_DIGITAL_ACCESS_MWH | TOTAL_ENERGY_SERVED_DAILY_DIGITAL_ACCESS_MWH | _LOADED_AT | _SOURCE_RUN_ID | _SRC_FILE
c925ecce59aba93d4258d605d5043392-1 | 2024 | 5932 | City of Ephraim - (UT) | Municipal | Y | UT | PACE |  |  |  |  |  | 2342 | 329 | 9 |  | 2680 |  |  |  |  |  |  |  |  |  |  | 2342 | 329 | 9 | 0 | 2680 | 15248.0 | 19945.0 | 1612.0 |  | 36805.0 |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:38:47.522619 | e70f2c31-6dc9-4715-88a6-ea3242acea15 | Advanced_Meters_2024.xlsx
a234178bbe4079d25a36a3884d23cea6-1 | 2024 | 40303 | Monroe County Elec Power Assn | Cooperative |  | MS | TVA | 0 | 0 | 0 | 0 | 0 | 10170 | 1650 | 0 | 0 | 11820 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 10170 | 1650 | 0 | 0 | 11820 | 165572.0 | 45272.0 | 0.0 | 0 | 210844.0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2026-08-05 21:38:47.522619 | e70f2c31-6dc9-4715-88a6-ea3242acea15 | Advanced_Meters_2024.xlsx
63cbe6890297fe0e07310ab00a847961-1 | 2024 | 13423 | Town of New Carlisle- (IN) | Municipal | Y | IN | MISO | 844 | 136 |  |  | 980 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 844 | 136 | 0 | 0 | 980 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:38:47.522619 | e70f2c31-6dc9-4715-88a6-ea3242acea15 | Advanced_Meters_2024.xlsx
7b797ffc5966cb1fd6e7de587072794d-1 | 2024 | 16420 | Rural Electric Conven Coop - (IL) | Cooperative | Y | IL | MISO |  |  |  |  |  | 5509 | 438 | 47 |  | 5994 |  |  |  |  |  |  |  |  |  |  | 5509 | 438 | 47 | 0 | 5994 | 79354.0 | 18295.0 | 13855.0 |  | 111504.0 |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:38:47.522619 | e70f2c31-6dc9-4715-88a6-ea3242acea15 | Advanced_Meters_2024.xlsx
76a497b2c9c4599fda2d357faa0923ce-1 | 2024 | 8972 | City of Hudson - (OH) | Municipal | Y | OH | PJM | 6149 | 856 |  |  | 7005 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 6149 | 856 | 0 | 0 | 7005 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:38:47.522619 | e70f2c31-6dc9-4715-88a6-ea3242acea15 | Advanced_Meters_2024.xlsx
7669b47369e5be1777d6b3301ec67a71-1 | 2024 | 38084 | Great Lakes Energy Coop | Cooperative |  | MI | MISO |  |  |  |  |  | 120645 | 11315 | 292 |  | 132252 |  |  |  |  | 0 |  |  |  |  | 0 | 120645 | 11315 | 292 | 0 | 132252 | 884220.0 | 184901.0 | 528391.0 |  | 1597512.0 | 120645 | 11315 | 292 |  | 132252 |  |  |  |  |  | 2026-08-05 21:38:47.522619 | e70f2c31-6dc9-4715-88a6-ea3242acea15 | Advanced_Meters_2024.xlsx
94d0073491a7ee176e106cfc9f67d85f-1 | 2024 | 18546 | Town of Templeton - (MA) | Municipal | Y | MA | ISNE |  |  |  |  |  | 3332 | 458 | 13 |  | 3803 |  |  |  |  |  |  |  |  |  |  | 3332 | 458 | 13 | 0 | 3803 | 29035.0 | 32933.0 | 3656.0 |  | 65624.0 |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:38:47.522619 | e70f2c31-6dc9-4715-88a6-ea3242acea15 | Advanced_Meters_2024.xlsx
d6b6d5b7c16c79ba6380076c60abfe29-1 | 2024 | 8748 | City of Holly Springs | Municipal |  | MS | TVA | 0 | 0 | 0 | 0 | 0 | 9399 | 2611 | 2 | 0 | 12012 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 9399 | 2611 | 2 | 0 | 12012 | 87102.0 | 45244.0 | 5463.0 | 0 | 137809.0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2026-08-05 21:38:47.522619 | e70f2c31-6dc9-4715-88a6-ea3242acea15 | Advanced_Meters_2024.xlsx
fbae7f2da3a408f0f7c304d9c15e884e-1 | 2024 | 1889 | Blue Ridge Elec Member Corp - (NC) | Cooperative |  | NC | DUK |  |  |  |  |  | 71926 | 8829 | 7 |  | 80762 |  |  |  |  |  |  |  |  |  |  | 71926 | 8829 | 7 | 0 | 80762 | 749928.0 | 260865.0 | 101301.0 |  | 1112094.0 | 71926 | 8829 | 7 |  | 80762 |  |  |  |  |  | 2026-08-05 21:38:47.522619 | e70f2c31-6dc9-4715-88a6-ea3242acea15 | Advanced_Meters_2024.xlsx
d75a3128c0684b590debccc9186607c1-1 | 2024 | 13416 | City of New Bern - (NC) | Municipal |  | NC | CPLE |  |  |  |  |  | 21283 | 3672 | 1 |  | 24956 |  |  |  |  |  |  | 25 | 3 |  | 28 | 21283 | 3697 | 4 | 0 | 24984 | 240152.0 | 137183.0 | 1906.0 |  | 379241.0 | 108 |  |  |  | 108 | 12109 | 228 |  |  | 12337 | 2026-08-05 21:38:47.522619 | e70f2c31-6dc9-4715-88a6-ea3242acea15 | Advanced_Meters_2024.xlsx
58adaa769a6d235f0038a00e87646e95-1 | 2024 | 59647 | Sunrun Inc. | Behind the Meter |  | NJ | PJM |  |  |  |  |  | 47733 |  |  |  | 47733 |  |  |  |  |  |  |  |  |  |  | 47733 | 0 | 0 | 0 | 47733 | 339127.12 |  |  |  | 339127.12 |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:38:47.522619 | e70f2c31-6dc9-4715-88a6-ea3242acea15 | Advanced_Meters_2024.xlsx
3416ea50f5fa5943b4952790b2096c4a-1 | 2024 | 5148 | City of Dickson | Municipal |  | TN | TVA | 0 | 0 | 0 | 0 | 0 | 30808 | 8154 | 20 | 0 | 38982 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 30808 | 8154 | 20 | 0 | 38982 | 455401.0 | 252454.0 | 140180.0 | 0 | 848035.0 | 30808 | 8154 | 20 | 0 | 38982 | 0 | 0 | 0 | 0 | 0 | 2026-08-05 21:38:47.522619 | e70f2c31-6dc9-4715-88a6-ea3242acea15 | Advanced_Meters_2024.xlsx
85844b19cf09d424f2463f56d30bc115-1 | 2024 | 12944 | City of Morganton - (NC) | Municipal |  | NC | DUK |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 7055 | 1774 | 39 |  | 8868 | 7055 | 1774 | 39 | 0 | 8868 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:38:47.522619 | e70f2c31-6dc9-4715-88a6-ea3242acea15 | Advanced_Meters_2024.xlsx
b6ff18187c8d33a757dff179921bda2a-1 | 2024 | 16778 | City of Schuyler - (NE) | Municipal | Y | NE | WACM | 2250 | 417 | 134 |  | 2801 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2250 | 417 | 134 | 0 | 2801 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:38:47.522619 | e70f2c31-6dc9-4715-88a6-ea3242acea15 | Advanced_Meters_2024.xlsx
8e501b9eed6c4c74ee5f92445daa66b9-1 | 2024 | 11126 | Village of Lodi - (OH) | Municipal | Y | OH | PJM | 1654 | 230 | 24 |  | 1908 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 1654 | 230 | 24 | 0 | 1908 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:38:47.522619 | e70f2c31-6dc9-4715-88a6-ea3242acea15 | Advanced_Meters_2024.xlsx
5211048d0fa13f60a9a1eaecdfc1cd44-1 | 2024 | 18395 | Sylacauga Utilities Board | Municipal | Y | AL | SOCO |  |  |  |  |  | 5150 | 887 | 24 |  | 6061 |  |  |  |  |  |  |  |  |  |  | 5150 | 887 | 24 | 0 | 6061 | 64696.0 | 52209.0 | 84609.0 |  | 201514.0 |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:38:47.522619 | e70f2c31-6dc9-4715-88a6-ea3242acea15 | Advanced_Meters_2024.xlsx
86a9fb0a1d409911df50ce05936abbf7-1 | 2024 | 19219 | Diverse Power Incorporated | Cooperative |  | GA | SOCO |  |  |  |  |  | 31998 | 5294 | 29 |  | 37321 |  |  |  |  |  |  |  |  |  |  | 31998 | 5294 | 29 | 0 | 37321 | 474979.0 | 145620.0 | 132718.0 |  | 753317.0 | 31998 | 5294 | 29 |  | 37321 |  |  |  |  |  | 2026-08-05 21:38:47.522619 | e70f2c31-6dc9-4715-88a6-ea3242acea15 | Advanced_Meters_2024.xlsx
b7a9b16f8c2fca3da337fcedc2d5cd76-1 | 2024 | 8898 | Houston County Elec Coop Inc | Cooperative |  | TX | ERCO |  |  |  |  |  | 21426 | 1466 | 9 |  | 22901 |  |  |  |  |  |  |  |  |  |  | 21426 | 1466 | 9 | 0 | 22901 | 220692.0 | 59552.0 | 129188.0 |  | 409432.0 |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:38:47.522619 | e70f2c31-6dc9-4715-88a6-ea3242acea15 | Advanced_Meters_2024.xlsx
c26dabe98cf006c0c1ba7ba1d875fed7-1 | 2024 | 19493 | Union County Electric Coop Inc | Cooperative | Y | SD | SWPP |  |  |  |  | 0 | 1378 | 86 | 226 |  | 1690 |  |  |  |  |  |  |  |  |  |  | 1378 | 86 | 226 | 0 | 1690 | 22473.0 | 5670.0 | 2231.0 |  | 30374.0 |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:38:47.522619 | e70f2c31-6dc9-4715-88a6-ea3242acea15 | Advanced_Meters_2024.xlsx
bf8627813d276a48b05e0d16a3810a38-1 | 2024 | 4068 | City of Columbus - (MS) | Municipal |  | MS | TVA | 0 | 0 | 0 | 0 | 0 | 8842 | 3722 | 4 | 0 | 12568 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 8842 | 3722 | 4 | 0 | 12568 | 120690.0 | 204942.0 | 37207.0 | 0 | 362839.0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2026-08-05 21:38:47.522619 | e70f2c31-6dc9-4715-88a6-ea3242acea15 | Advanced_Meters_2024.xlsx
51e60d832a77b71839fc53f5d3167539-1 | 2024 | 2647 | City of Butler - (MO) | Municipal | Y | MO | SWPP |  |  |  |  | 0 | 1938 | 442 | 3 |  | 2383 |  |  |  |  |  |  |  |  |  |  | 1938 | 442 | 3 | 0 | 2383 | 18726.0 | 19359.0 | 5385.0 |  | 43470.0 |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:38:47.522619 | e70f2c31-6dc9-4715-88a6-ea3242acea15 | Advanced_Meters_2024.xlsx
3ffbc067ff946e049d066a90dda373e2-1 | 2024 | 15159 | City of Plymouth - (WI) | Municipal |  | WI | MISO | 0 | 0 | 0 | 0 | 0 | 7354 | 1401 | 8 | 0 | 8763 |  |  |  |  |  | 4 | 1 | 0 | 0 | 5 | 7358 | 1402 | 8 | 0 | 8768 | 61636.0 | 95261.0 | 102174.0 | 0 | 259071.0 | 7354 | 1401 | 8 | 0 | 8763 |  |  |  |  |  | 2026-08-05 21:38:47.522619 | e70f2c31-6dc9-4715-88a6-ea3242acea15 | Advanced_Meters_2024.xlsx
cf11ec5a11360f0060267d34773705fd-1 | 2024 | 571 | City of Amory | Municipal |  | MS | TVA | 2822 | 1134 | 3 | 0 | 3959 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2822 | 1134 | 3 | 0 | 3959 | 0.0 | 0.0 | 0.0 | 0 | 0.0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2026-08-05 21:38:47.522619 | e70f2c31-6dc9-4715-88a6-ea3242acea15 | Advanced_Meters_2024.xlsx
e2648593e40fd57b3bd16f553aa78e94-1 | 2024 | 12789 | City of Monmouth - (OR) | Municipal | Y | OR | BPAT |  |  |  |  | 0 | 4571 | 364 |  |  | 4935 |  |  |  |  |  |  |  |  |  |  | 4571 | 364 | 0 | 0 | 4935 | 48412.0 | 27362.0 |  |  | 75774.0 |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:38:47.522619 | e70f2c31-6dc9-4715-88a6-ea3242acea15 | Advanced_Meters_2024.xlsx
4f984fdeb693629ed691644f35c5afb4-1 | 2024 | 17585 | Southeastern IL Elec Coop, Inc | Cooperative |  | IL | MISO | 22696 | 2482 | 28 |  | 25206 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 22696 | 2482 | 28 | 0 | 25206 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:38:47.522619 | e70f2c31-6dc9-4715-88a6-ea3242acea15 | Advanced_Meters_2024.xlsx
c95401b57491bc9801303bae66658736-1 | 2024 | 9964 | Kenergy Corp | Cooperative |  | KY | MISO |  |  | 17 |  | 17 | 47292 | 12384 | 9 |  | 59685 |  |  |  |  |  |  |  |  |  |  | 47292 | 12384 | 26 | 0 | 59702 | 670042.0 | 304684.0 | 81797.0 |  | 1056523.0 |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:38:47.522619 | e70f2c31-6dc9-4715-88a6-ea3242acea15 | Advanced_Meters_2024.xlsx
8b4468313373f50fccfeebd08f77b39c-1 | 2024 | 14724 | Pennyrile Rural Electric Coop | Cooperative |  | KY | TVA | 28778 | 4872 | 0 | 0 | 33650 | 11867 | 2017 | 26 | 0 | 13910 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 40645 | 6889 | 26 | 0 | 47560 | 168807.16 | 95232.03 | 368318.0 | 0 | 632357.19 | 40645 | 6889 | 26 | 0 | 47560 | 0 | 0 | 0 | 0 | 0 | 2026-08-05 21:38:47.522619 | e70f2c31-6dc9-4715-88a6-ea3242acea15 | Advanced_Meters_2024.xlsx
5316bdcf7607a56b36875623c19fc31d-1 | 2024 | 3726 | Clay Electric Coop Inc - (IL) | Cooperative | Y | IL | MISO |  |  |  |  |  | 2983 | 284 |  |  | 3267 |  |  |  |  |  |  |  |  |  |  | 2983 | 284 | 0 | 0 | 3267 | 36058.0 | 15047.0 |  |  | 51105.0 |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:38:47.522619 | e70f2c31-6dc9-4715-88a6-ea3242acea15 | Advanced_Meters_2024.xlsx
e8ec7f33e417d0f52ddb78f7c1ecef92-1 | 2024 | 10697 | Lake Country Power | Cooperative |  | MN | MISO |  |  |  |  |  | 47204 | 4176 | 3 |  | 51383 |  |  |  |  |  |  |  |  |  |  | 47204 | 4176 | 3 | 0 | 51383 | 469478.0 | 117384.0 | 105722.0 |  | 692584.0 | 47204 | 4176 | 3 |  | 51383 |  |  |  |  |  | 2026-08-05 21:38:47.522619 | e70f2c31-6dc9-4715-88a6-ea3242acea15 | Advanced_Meters_2024.xlsx
5bf05bed5d4fdf0c92531ca4a6025ac2-1 | 2024 | 20111 | Warren County Rural E M C | Cooperative | Y | IN | MISO |  |  |  |  |  | 3834 | 1134 | 2 |  | 4970 |  |  |  |  |  |  |  |  |  |  | 3834 | 1134 | 2 | 0 | 4970 | 52.0 | 32.0 | 15.0 |  | 99.0 |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:38:47.522619 | e70f2c31-6dc9-4715-88a6-ea3242acea15 | Advanced_Meters_2024.xlsx
(2725 rows; csv has all)
