-- S09 advanced meters: whole table, smart-meter counts per utility-state, the precondition for time-varying rates
RECORD_ID | DATA_YEAR | UTILITY_NUMBER | UTILITY_NAME | OWNERSHIP | SHORT_FORM | STATE | BA_CODE | RESIDENTIAL_AMR_METERS | COMMERCIAL_AMR_METERS | INDUSTRIAL_AMR_METERS | TRANSPORTATION_AMR_METERS | TOTAL_AMR_METERS | RESIDENTIAL_AMI_METERS | COMMERCIAL_AMI_METERS | INDUSTRIAL_AMI_METERS | TRANSPORTATION_AMI_METERS | TOTAL_AMI_METERS | RESIDENTIAL_AMI_HOME_AREA_NETWORK_METERS | COMMERCIAL_AMI_HOME_AREA_NETWORK_METERS | INDUSTRIAL_AMI_HOME_AREA_NETWORK_METERS | TRANSPORTATION_AMI_HOME_AREA_NETWORK_METERS | TOTAL_AMI_HOME_AREA_NETWORK_METERS | RESIDENTIAL_NON_AMR_AMI_METERS | COMMERCIAL_NON_AMR_AMI_METERS | INDUSTRIAL_NON_AMR_AMI_METERS | TRANSPORTATION_NON_AMR_AMI_METERS | TOTAL_NON_AMR_AMI_METERS | RESIDENTIAL_TOTAL_METERS | COMMERCIAL_TOTAL_METERS | INDUSTRIAL_TOTAL_METERS | TRANSPORTATION_TOTAL_METERS | TOTAL_TOTAL_METERS | RESIDENTIAL_ENERGY_SERVED_AMI_MWH | COMMERCIAL_ENERGY_SERVED_AMI_MWH | INDUSTRIAL_ENERGY_SERVED_AMI_MWH | TRANSPORTATION_ENERGY_SERVED_AMI_MWH | TOTAL_ENERGY_SERVED_AMI_MWH | RESIDENTIAL_AMI_DAILY_DIGITAL_ACCESS_METERS | COMMERCIAL_AMI_DAILY_DIGITAL_ACCESS_METERS | INDUSTRIAL_AMI_DAILY_DIGITAL_ACCESS_METERS | TRANSPORTATION_AMI_DAILY_DIGITAL_ACCESS_METERS | TOTAL_AMI_DAILY_DIGITAL_ACCESS_METERS | RESIDENTIAL_ENERGY_SERVED_DAILY_DIGITAL_ACCESS_MWH | COMMERCIAL_ENERGY_SERVED_DAILY_DIGITAL_ACCESS_MWH | INDUSTRIAL_ENERGY_SERVED_DAILY_DIGITAL_ACCESS_MWH | TRANSPORTATION_ENERGY_SERVED_DAILY_DIGITAL_ACCESS_MWH | TOTAL_ENERGY_SERVED_DAILY_DIGITAL_ACCESS_MWH | _LOADED_AT | _SOURCE_RUN_ID | _SRC_FILE
45f5dc237787cdfa96acaaecda2774a8-1 | 2024 | 4007 | City of Columbia City - (IN) | Municipal | Y | IN | PJM | 0 |  |  |  | 0 | 5008 |  |  |  | 5008 |  |  |  |  |  |  |  |  |  |  | 5008 | 0 | 0 | 0 | 5008 | 95959.0 |  |  |  | 95959.0 |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:38:47.522619 | e70f2c31-6dc9-4715-88a6-ea3242acea15 | Advanced_Meters_2024.xlsx
168f2c555d42538200bf2b642f15a5b6-1 | 2024 | 1625 | Benton Rural Electric Assn | Cooperative |  | WA | BPAT |  |  |  |  |  | 10 | 7 | 2 |  | 19 |  |  |  |  |  | 13412 | 1638 | 1384 |  | 16434 | 13422 | 1645 | 1386 | 0 | 16453 | 185.0 | 31648.0 | 28568.0 |  | 60401.0 |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:38:47.522619 | e70f2c31-6dc9-4715-88a6-ea3242acea15 | Advanced_Meters_2024.xlsx
75c9200a76d61f91b0d4f89b3e586a62-1 | 2024 | 4471 | Craig-Botetourt Electric Coop | Cooperative | Y | WV | PJM |  |  |  |  |  | 431 | 62 |  |  | 493 |  |  |  |  |  |  |  |  |  |  | 431 | 62 | 0 | 0 | 493 | 2670.0 | 462.0 |  |  | 3132.0 |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:38:47.522619 | e70f2c31-6dc9-4715-88a6-ea3242acea15 | Advanced_Meters_2024.xlsx
c40790123be4a39a146dafd41797a925-1 | 2024 | 14063 | Oklahoma Gas & Electric Co | Investor Owned |  | AR | SWPP | 0 | 0 | 0 | 0 | 0 | 60234 | 11675 | 392 | 0 | 72301 | 58372 | 10922 | 348 | 0 | 69642 | 1 | 8 | 0 | 0 | 9 | 60235 | 11683 | 392 | 0 | 72310 | 718260.0 | 810432.0 | 1055315.0 | 0 | 2584007.0 | 33790 | 6999 | 252 | 0 | 41041 | 0 | 0 | 0 | 0 | 0 | 2026-08-05 21:38:47.522619 | e70f2c31-6dc9-4715-88a6-ea3242acea15 | Advanced_Meters_2024.xlsx
5a7902d1e0747c9bf74e8c64454bbd4e-1 | 2024 | 11740 | City of Marshfield - (WI) | Municipal |  | WI | MISO |  |  |  |  | 0 | 11938 | 1977 | 54 |  | 13969 |  |  |  |  |  |  |  |  |  |  | 11938 | 1977 | 54 | 0 | 13969 | 96545.0 | 87088.0 | 172841.0 |  | 356474.0 |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:38:47.522619 | e70f2c31-6dc9-4715-88a6-ea3242acea15 | Advanced_Meters_2024.xlsx
b93b4a2ca31fc43f5b2dd05d73a09f59-1 | 2024 | 5860 | Empire District Electric Co | Investor Owned |  | OK | SWPP |  |  |  |  |  | 3893 | 985 | 9 |  | 4887 |  |  |  |  |  | 8 | 3 | 1 |  | 12 | 3901 | 988 | 10 | 0 | 4899 | 48507.0 | 39311.0 | 67089.0 |  | 154907.0 |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:38:47.522619 | e70f2c31-6dc9-4715-88a6-ea3242acea15 | Advanced_Meters_2024.xlsx
80df27f3538d662ad6d451ab094b9023-1 | 2024 | 3203 | Cedar Falls Utilities | Municipal |  | IA | MISO | 0 | 0 | 0 | 0 | 0 | 10753 | 1657 | 41 | 0 | 12451 | 0 | 0 | 0 | 0 | 0 | 6929 | 586 | 207 | 0 | 7722 | 17682 | 2243 | 248 | 0 | 20173 | 83858.0 | 435602.0 | 1641.0 | 0 | 521101.0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2026-08-05 21:38:47.522619 | e70f2c31-6dc9-4715-88a6-ea3242acea15 | Advanced_Meters_2024.xlsx
37d906e9efa41df6814ebc5e771ad594-1 | 2024 | 61823 | Greenskies Renewable Energy, LLC | Behind the Meter |  | CT | ISNE |  |  |  |  |  |  | 67 |  |  | 67 |  |  |  |  |  |  |  |  |  |  | 0 | 67 | 0 | 0 | 67 |  | 65816.0 |  |  | 65816.0 |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:38:47.522619 | e70f2c31-6dc9-4715-88a6-ea3242acea15 | Advanced_Meters_2024.xlsx
dadab2c8108b2d121e842622a4f008d6-1 | 2024 | 60981 | TerraForm US Energy Services, LLC | Behind the Meter |  | TX | ERCO |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2 |  |  | 2 | 0 | 2 | 0 | 0 | 2 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:38:47.522619 | e70f2c31-6dc9-4715-88a6-ea3242acea15 | Advanced_Meters_2024.xlsx
47b1cd50fa93f70a6a8dbbcbf06cb3e3-1 | 2024 | 99999 | Adjustment 2024 |  |  | NY |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 20661 | 5209 | 509 |  | 26379 | 20661 | 5209 | 509 | 0 | 26379 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2026-08-05 21:38:47.522619 | e70f2c31-6dc9-4715-88a6-ea3242acea15 | Advanced_Meters_2024.xlsx
