-- S01 Column names and types for the 5 tables
TABLE_NAME | COLS
FINANCE__FED_FDIC_BANK_DATA | CERT:TEXT, NAME:TEXT, CITY:TEXT, STNAME:TEXT, STALP:TEXT, ZIP:TEXT, FIPS:TEXT, BKCLASS:TEXT, ACTIVE:TEXT, DATEUPDT:DATE, ESTYMD:DATE, ENDEFYMD:DATE, ASSET:NUMBER, DEP:NUMBER, DEPDOM:NUMBER, NETINC:NUMBER, REPDTE:DATE, RSSDID:TEXT, CHRTAGNT:TEXT, SPECGRP:TEXT, HCTMULT:TEXT, LATITUDE:NUMBER, LONGITUDE:NUMBER, LEI:TEXT, DOCKET:TEXT, FDIC_ID:TEXT, HOLDING_COMPANY_NAME:TEXT, HOLDING_COMPANY_CITY:TEXT, ADDRESS:TEXT, COUNTY:TEXT, CBSA:TEXT, CBSA_METRO_NAME:TEXT, CHARTER:TEXT, CLCODE:TEXT, FDIC_REGION:TEXT, FDIC_SUPERVISOR:TEXT, OCC_DISTRICT:TEXT, IN_CONSERVATORSHIP:TEXT, INSURED_DATE:DATE, INSURANCE_DROPPED_DATE:DATE, MDI_STATUS_CODE:TEXT, MDI_STATUS_DESC:TEXT, SUCCESSOR_CERT:TEXT, PARENT_CERT:TEXT, OFFICES:NUMBER, OFFICES_DOMESTIC:NUMBER, _INGESTED_AT:TIMESTAMP_NTZ, _SOURCE_RUN_ID:TEXT
FINANCE__FED_FEC_LEADERSHIP_PAC | FEC_CANDIDATE_ID:TEXT, CAND_ELECTION_YR:TEXT, FEC_ELECTION_YR:TEXT, FEC_COMMITTEE_ID:TEXT, CMTE_TP:TEXT, CMTE_DSGN:TEXT, LINKAGE_ID:TEXT
FINANCE__FED_OCC_THRIFTS | CHARTER_NO:TEXT, NAME:TEXT, ADDRESS_LOC:TEXT, CITY:TEXT, STATE:TEXT, CERT:NUMBER, RSSD:NUMBER, _LOADED_AT:NUMBER, _SOURCE_RUN_ID:TEXT, _SRC_SHA256:TEXT
FINANCE__FED_SEC_BUSINESS_DEVELOPMENT_COMPANY_REPORT | FILE_NO:TEXT, CIK:TEXT, REGISTRANT_NAME:TEXT, ADDRESS_1:TEXT, ADDRESS_2:TEXT, CITY:TEXT, STATE:TEXT, ZIP_CODE:TEXT, FILING_DATE:DATE, FILING_TYPE:TEXT
FINANCE__FED_SEC_DERA_SUB_2024Q1 | ADSH:TEXT, CIK:TEXT, NAME:TEXT, SIC:TEXT, COUNTRYBA:TEXT, STPRBA:TEXT, CITYBA:TEXT, ZIPBA:TEXT, BAS1:TEXT, BAS2:TEXT, BAPH:TEXT, COUNTRYMA:TEXT, STPRMA:TEXT, CITYMA:TEXT, ZIPMA:TEXT, MAS1:TEXT, MAS2:TEXT, COUNTRYINC:TEXT, STPRINC:TEXT, EIN:TEXT, FORMER:TEXT, CHANGED:TEXT, AFS:TEXT, WKSI:TEXT, FYE:TEXT, FORM:TEXT, PERIOD:TEXT, FY:NUMBER, FP:TEXT, FILED:TEXT, ACCEPTED:TEXT, PREVRPT:TEXT, DETAIL:TEXT, INSTANCE:TEXT, NCIKS:TEXT, ACIKS:TEXT
FINANCE__FED_SEC_DERA_SUB_2025Q1 | ADSH:TEXT, CIK:TEXT, NAME:TEXT, SIC:TEXT, COUNTRYBA:TEXT, STPRBA:TEXT, CITYBA:TEXT, ZIPBA:TEXT, BAS1:TEXT, BAS2:TEXT, BAPH:TEXT, COUNTRYMA:TEXT, STPRMA:TEXT, CITYMA:TEXT, ZIPMA:TEXT, MAS1:TEXT, MAS2:TEXT, COUNTRYINC:TEXT, STPRINC:TEXT, EIN:TEXT, FORMER:TEXT, CHANGED:TEXT, AFS:TEXT, WKSI:TEXT, FYE:TEXT, FORM:TEXT, PERIOD:TEXT, FY:NUMBER, FP:TEXT, FILED:TEXT, ACCEPTED:TEXT, PREVRPT:TEXT, DETAIL:TEXT, INSTANCE:TEXT, NCIKS:TEXT, ACIKS:TEXT
FINANCE__FED_SEC_DERA_SUB_2026Q1 | ADSH:TEXT, CIK:TEXT, NAME:TEXT, SIC:TEXT, COUNTRYBA:TEXT, STPRBA:TEXT, CITYBA:TEXT, ZIPBA:TEXT, BAS1:TEXT, BAS2:TEXT, BAPH:TEXT, COUNTRYMA:TEXT, STPRMA:TEXT, CITYMA:TEXT, ZIPMA:TEXT, MAS1:TEXT, MAS2:TEXT, COUNTRYINC:TEXT, STPRINC:TEXT, EIN:TEXT, FORMER:TEXT, CHANGED:TEXT, AFS:TEXT, WKSI:TEXT, FYE:TEXT, FORM:TEXT, PERIOD:TEXT, FY:NUMBER, FP:TEXT, FILED:TEXT, ACCEPTED:TEXT, PREVRPT:TEXT, DETAIL:TEXT, INSTANCE:TEXT, NCIKS:TEXT, ACIKS:TEXT
FINANCE__FED_SEC_EDGAR_COMPANY_TICKERS_EXCHANGE | CIK:NUMBER, TICKER:TEXT, CIK_TICKER:TEXT, COMPANY_NAME:TEXT, EXCHANGE:TEXT, _LOADED_AT:NUMBER, _SOURCE_RUN_ID:TEXT, _SRC_SHA256:TEXT
(8 rows; csv has all)
