-- S16 Big filers (large accelerated and accelerated) whose 10-K or 10-Q came in past the extended deadline, all nine quarters: exchange listing, and insider open-market trades between the extended deadline and the filing
Q | NAME | CIK | FORM | AFS | SIC | STPRBA | PD | EXT_DUE | FD | LAG | PREVRPT | EXCH | TICK | SALES_IN_GAP | SALE_USD_IN_GAP | BUYS_IN_GAP | SALES_PRIOR_365 | SALE_USD_PRIOR_365 | INS_D0 | INS_D1
2025Q1 | VERADIGM INC. | 1124804 | 10-K | 1-LAF | 7373 | IL | 2022-12-31 | 2023-03-16 | 2025-03-18 | 808 | 0 |  |  | 0 | 0.0 | 12 | 23 | 11288039.0 | 2014-06-13 | 2024-03-01
2024Q2 | GUSHEN, INC | 1639327 | 10-Q | 1-LAF | 7363 |  | 2022-12-31 | 2023-02-14 | 2024-05-31 | 517 | 0 |  |  | 0 | 0.0 | 0 | 0 | 0.0 |  | 
2024Q1 | PARTY CITY HOLDCO INC. | 1592058 | 10-K | 1-LAF | 5900 | NJ | 2022-12-31 | 2023-03-16 | 2024-03-28 | 453 | 0 |  |  | 0 | 0.0 | 0 | 2 | 7880526.0 | 2016-08-08 | 2023-01-11
2024Q2 | GUSHEN, INC | 1639327 | 10-Q | 1-LAF | 7363 |  | 2023-03-31 | 2023-05-15 | 2024-05-31 | 427 | 0 |  |  | 0 | 0.0 | 0 | 0 | 0.0 |  | 
2024Q1 | TANGER INC. | 899715 | 10-K | 1-LAF | 6798 | NC | 2022-12-31 | 2023-03-16 | 2024-02-21 | 417 | 0 | NYSE | SKT | 8 | 14422521.0 | 0 | 5 | 3701000.0 | 2016-08-04 | 2025-03-11
2024Q4 | TILRAY BRANDS, INC. | 1731348 | 10-Q | 1-LAF | 2833 | NY | 2023-08-31 | 2023-10-15 | 2024-10-10 | 406 | 0 | Nasdaq | TLRY | 0 | 0.0 | 5 | 1 | 1323000.0 | 2018-07-23 | 2024-11-15
2025Q2 | EQUITY COMMONWEALTH | 803649 | 10-Q | 1-LAF | 6798 | IL | 2024-03-31 | 2024-05-15 | 2025-05-06 | 401 | 0 |  |  | 0 | 0.0 | 0 | 2 | 1008072.0 | 2018-03-27 | 2024-03-06
2024Q2 | GUSHEN, INC | 1639327 | 10-Q | 1-LAF | 7363 |  | 2023-06-30 | 2023-08-14 | 2024-05-31 | 336 | 0 |  |  | 0 | 0.0 | 0 | 0 | 0.0 |  | 
2025Q1 | TRIMBLE INC. | 864749 | 10-Q | 1-LAF | 3829 | CO | 2024-03-31 | 2024-05-15 | 2025-01-16 | 291 | 0 | Nasdaq | TRMB | 0 | 0.0 | 0 | 25 | 2773695.0 | 2012-08-30 | 2025-02-25
2024Q4 | ZHUOXUN HONGTU INC. | 1639327 | 10-Q | 1-LAF | 7363 |  | 2023-12-31 | 2024-02-14 | 2024-10-11 | 285 | 0 |  |  | 0 | 0.0 | 0 | 0 | 0.0 |  | 
