REV_YEAR,REINSTATED_STILL_LISTED,NEVER_REINSTATED_STILL_LISTED,TOTAL_OVERLAP
2023,7569,1223,8792
2024,6010,1346,7356
2015,5234,711,5945
2016,5096,596,5692
2017,5443,674,6117
2018,4730,697,5427
2012,6599,997,7596
2013,7004,1124,8128
2014,5985,964,6949
2019,3710,948,4658
2020,3451,1462,4913
2021,4320,1072,5392
2022,6575,1285,7860
2010,23877,2821,26698
2011,8903,1517,10420
2025,2138,1561,3699
2026,5,45,50
