SUP	NEG	RATE_M	N	N20K	IMPLIED_GT9	IMPLIED_GT20	AVG_IMPLIED	MED_IMPLIED	MN	MX
False	False	0.0	9954	6786	6729	4208	49.6	16.0	0	2345
True	False	1.0	8210	4008	276	0	4.1	3.6		
True	True	1.0	693	0	0	0				
