== S7 rows
K	ID	NM	ACT	CITY	ST	FIPS	DU	TOT	SHARE
excluded	BO5539347	VA CONSOLIDATED MAIL OUTPATIENT PHARMACY	RETAIL PHARMACY	NORTH CHARLESTON	SC	45019	512414034.0		
excluded	BH9569851	HUMANA PHARMACY, INC	RETAIL PHARMACY	PHOENIX	AZ	04013	43193300.0		
excluded	FE0243181	ENCLARA HEALTH	RETAIL PHARMACY	WEST DEPTFORD	NJ	34015	4306540.0		
excluded	FA1592650	MEDCORE PHARMACY	RETAIL PHARMACY	DALLAS	TX	48113	198800.0		
excluded	AM1832991	MEDCOURT PHARMACY INCORPORATE	RETAIL PHARMACY	JACKSON HEIGHTS	NY	36081	417280.0		
excluded	FG0544658	GHC-SCW MAIL PHARMACY	RETAIL PHARMACY	MADISON	WI	55025	147900.0		
excluded	FH1772397	HUMANA PHARMACY, INC	RETAIL PHARMACY	PEMBROKE PINES	FL	12011	60800.0		
excluded	BP9163902	PBM PLUS MAIL SRVC PHARMACY	RETAIL PHARMACY	MILFORD	OH	39025	283820.0		
excluded	FC0102652	CAREMARK IOWA CARECENTER, PHARMACY  I, LLC	RETAIL PHARMACY	URBANDALE	IA	19153	4200.0		
excluded	FC0383012	CAREMARK ILLINOIS CARECENTER PHARMACY, LLC	CHAIN PHARMACY	DEERFIELD	IL	17097	2800.0		
excluded	FO0041412	OZCAN, ISMAIL MD	PRACTITIONER-DW/100	LAKE RONKONKOMA	NY	36103	900.0		
excluded	FM1588586	MEDCO HEALTH SOLUTIONS OF INDIANA, LLC	RETAIL PHARMACY	WHITESTOWN	IN	18011	124800.0		
ltc_like	BL6383246	OMNICARE PHARMACY OF TN LLC	RETAIL PHARMACY	CLEVELAND	TN	47011	8663580.0		
ltc_like	BP5734341	PHARMERICA	RETAIL PHARMACY	KENT	WA	53033	5338145.0		
ltc_like	BK7963211	KAISER PERMANENTE PHMCY #281	RETAIL PHARMACY	FOLSOM	CA	06067	6875950.0		
ltc_like	AD6448446	DIPLOMAT SPECIALTY PHARMACY	RETAIL PHARMACY	FLINT	MI	26049	5308890.0		
ltc_like	BK3823398	KAISER FOUNDA HLTH PLAN	RETAIL PHARMACY	OAKLAND	CA	06001	7167580.0		
ltc_like	BG7982893	KAISER FOUNDATION HEALTH PLAN OF WASHINGTON	RETAIL PHARMACY	RENTON	WA	53033	12437600.0		
ltc_like	BG5758113	PHARMERICA	RETAIL PHARMACY	PHOENIX	AZ	04013	7601140.0		
ltc_like	AG2888204	KAISER FOUNDATION HEALTH PLAN OF WASHINGTON	RETAIL PHARMACY	SILVERDALE	WA	53035	5832060.0		
ltc_like	BE9474709	OMNICARE OF SAN DIEGO	RETAIL PHARMACY	SAN DIEGO	CA	06073	6523160.0		
ltc_like	BK0770188	KAISER FOUNDATION HEALTH PLAN	RETAIL PHARMACY	MARTINEZ	CA	06013	6631000.0		
ltc_like	BE8465709	ENGLEWOOD SPECIALTY PHARMACY, INC	RETAIL PHARMACY	PORT CHARLOTTE	FL	12015	9205720.0		
ltc_like	AS5787227	OMNICARE OF KING OF PRUSSIA	RETAIL PHARMACY	KING OF PRUSSIA	PA	42091	8218100.0		
ltc_like	BK5636672	KAISER FOUNDATION HEALTH PLAN	RETAIL PHARMACY	FAIRFIELD	CA	06095	5183880.0		
county_top	BW5353242	WAL-MART PHARMACY 10-1868	CHAIN PHARMACY	AUBURN	ME	23001	3540200.0	35215130.0	0.10053065259165592
county_top	BW5395858	WAL-MART PHARMACY 10-1331	CHAIN PHARMACY	SIDNEY	OH	39149	2248800.0	10602140.0	0.21210812156790987
county_top	AA3060237	CVS ALBANY, L.L.C.	CHAIN PHARMACY	CAIRO	NY	36039	3229600.0	13828840.0	0.23354091883339456
county_top	AR2920709	GEORGIA CVS PHARMACY, L.L.C.	CHAIN PHARMACY	BLAIRSVILLE	GA	13291	2609950.0	6835570.0	0.3818189265854932
county_top	FF1055690	FAULKTON DRUG	RETAIL PHARMACY	FAULKTON	SD	46049	200000.0	291600.0	0.6858710562414266
county_top	BS7472563	SEARHC HAINES MEDICAL CLINIC	RETAIL PHARMACY	HAINES	AK	02100	293000.0	397030.0	0.7379794977709493
county_top	BC2445876	CITY PHARMACY	RETAIL PHARMACY	WATONGA	OK	40011	625960.0	1708920.0	0.36628982047140884
county_top	BN9557298	NICHOLAS PHARMACY, INC	RETAIL PHARMACY	SUMMERSVILLE	WV	54067	3439100.0	18164700.0	0.18932875302096924
county_top	BW7420108	WHITE DRUG #55	RETAIL PHARMACY	HETTINGER	ND	38001	758270.0	758270.0	1.0
county_top	AP7304063	PINE MOUNTAIN PHARMACY	RETAIL PHARMACY	PINE MOUNTAIN	GA	13145	574420.0	912090.0	0.6297843414575316
county_top	BW3047657	WAL-MART PHARMACY 10-1775	CHAIN PHARMACY	LEBANON	OR	41043	4090500.0	45336775.0	0.0902247678622928
county_top	BJ6181729	JIM'S PHARMACY	RETAIL PHARMACY	IRON RIVER	MI	26071	1447690.0	3663470.0	0.3951690610268407
county_top	AH6285248	HUDACKO'S PHARMACY INC	RETAIL PHARMACY	BAYONNE	NJ	34017	2964190.0	65981691.0	0.04492443214285005
county_top	BS8888983	STE GEN PHARMACY INC	RETAIL PHARMACY	STE GENEVIEVE	MO	29186	1578000.0	1990470.0	0.7927775851934468
county_top	BW6543664	WALGREEN CO.	CHAIN PHARMACY	CLEBURNE	TX	48251	4197100.0	43585950.0	0.09629479224383086
county_top	BP9781875	PAMIDA PHARMACY #322	CHAIN PHARMACY	NEWCASTLE	WY	56045	1424300.0	1602000.0	0.8890761548064919
county_top	BC5822110	CVS PHARMACY, INC.	CHAIN PHARMACY	HYANNIS	MA	25001	4207000.0	51427063.0	0.08180517716907147
county_top	BH7616684	HERBERT'S PHARMACY	RETAIL PHARMACY	ANDOVER	OH	39007	3246270.0	28838590.0	0.1125668765359194
county_top	BR2599578	RITE AID OF VIRGINIA, INC.	CHAIN PHARMACY	ELKTON	VA	51165	1611420.0	7332380.0	0.21976766070498255
county_top	AJ7624516	JERRY JONES INC	RETAIL PHARMACY	ANDREWS	TX	48003	1202360.0	2436950.0	0.49338722583557315
county_top	BM9119719	MAIN STREET DRUG LLC	RETAIL PHARMACY	WAVERLY	TN	47085	1857140.0	6465070.0	0.28725752389378617
county_top	BK4369775	KOHAL PHARMACY 2	RETAIL PHARMACY	KELLOGG	ID	16079	2491680.0	6836010.0	0.3644933228593873
county_top	BW8390887	WALGREEN CO.	CHAIN PHARMACY	ROME	GA	13115	4099940.0	50461515.0	0.08124884875137023
county_top	BV2284987	VAN HORN PHARMACY	RETAIL PHARMACY	VAN HORN	TX	48109	700.0	700.0	1.0
county_top	BT2310061	TAHOKA DRUG INC	RETAIL PHARMACY	TAHOKA	TX	48305	337720.0	337720.0	1.0
county_top	BW5569388	WAL-MART PHARMACY 10-0813	CHAIN PHARMACY	BROWNWOOD	TX	48049	3559400.0	17703400.0	0.20105742399765017
county_top	AM2100585	MURRAY DRUG CO INC	RETAIL PHARMACY	HOMERVILLE	GA	13065	1761880.0	3493290.0	0.5043612182212184
county_top	BG0827571	GATEWAY PHARM OF MONROE CITY	RETAIL PHARMACY	MONROE CITY	MO	29137	650000.0	1063960.0	0.6109252227527351
county_top	BR2726834	VIRGINIA CVS PHARMACY, L.L.C.	CHAIN PHARMACY	ROANOKE	VA	51770	4099810.0	38760430.0	0.10577307836884163
county_top	AJ5590802	GEORGIA CVS PHARMACY, L.L.C.	CHAIN PHARMACY	THOMASVILLE	GA	13275	2062680.0	11336626.0	0.1819483151336209
county_top	BW4437364	WALGREEN CO.	CHAIN PHARMACY	EAST RIDGE	TN	47065	7626070.0	141949693.875	0.053723750941762995
county_top	BW5506095	WAL-MART PHARMACY 10-1106	CHAIN PHARMACY	VIDALIA	LA	22029	1202200.
