Y	N	DU	T
2006	20918026	8389126633.601	DOUBLE
2007	23010250	9463589067.0	DOUBLE
2008	24542457	10249531926.625002	DOUBLE
2009	25478671	11141011542.922867	DOUBLE
2010	27388779	11946181222.439304	DOUBLE
2011	28658718	12775441241.149998	DOUBLE
2012	28601120	12663966407.5	DOUBLE
