TABLE_SCHEMA	TABLE_NAME	ROW_COUNT
TIMELINE	HEALTH__FED_DEA_ARCOS	
HEALTH	HEALTH__FED_DEA_ARCOS	178598026
HEALTH	HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY	132000
TIMELINE	HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY	
