V	PERIOD	N
1-9	2019	1587
1-9	2020	1495
1-9	2021	1417
1-9	2022	1409
1-9	2023	1424
1-9	2024	1547
1-9	TTM	1671
10-50	2022	11
10-50	2023	9
10-50	2024	4
10-50	TTM	3
numeric	2019	1555
numeric	2020	1648
numeric	2021	1726
numeric	2022	1723
numeric	2023	1710
numeric	2024	1592
numeric	TTM	1469
