GEOID	MODELED_SUP_DEATHS	SUP_NO_RATE	N1050
20017	0.0	0	0
17185	8.123115	0	0
29227	0.0	2	0
48079	0.0	0	0
29011	9.693621	0	0
19047	4.2303999999999995	0	0
51057	17.074989000000002	0	0
48505	7.541727	0	0
20195	0.0	1	0
48195	1.0252899999999998	0	0
19145	5.749758	1	0
16015	4.444240000000001	0	0
49037	10.946572	2	0
48267	0.0	2	0
20003	3.361644	0	0
20157	0.944148	1	0
48443	0.0	0	0
19165	4.545702	0	0
12013	12.815472	0	0
29125	5.076064	2	0
19149	6.552989999999999	0	0
19081	2.7959050000000003	0	0
13235	1.823175	1	0
24029	35.689082	1	0
26093	0.0	0	0
26137	19.646253	0	0
27115	7.9697759999999995	0	0
27127	5.259925	1	0
27153	15.005628	0	0
29007	26.309948	0	0
26161	0.0	0	0
31127	1.322838	2	0
13307	0.0	2	0
29037	0.0	0	0
25009	0.0	0	0
26083	0.0	1	0
26119	5.40027	1	0
31059	0.48848800000000003	0	0
31079	24.02589	0	0
31147	0.0	0	0
30025	0.0	1	0
30065	1.62239	2	0
05061	6.7249099999999995	0	0
40085	9.922788	0	0
13249	3.5648479999999996	1	0
26151	40.611000000000004	0	0
27027	12.214466000000002	0	0
27123	0.0	0	0
27155	0.0	1	0
28043	15.724283	0	0
17069	0.6604690000000001	0	0
26113	14.495076	0	0
27113	10.829808	0	0
28063	3.56466	1	0
28143	8.41252	0	0
29217	18.071319	0	0
30029	10.018272	0	0
31103	0.0	0	0
28089	20.73755	0	0
08125	3.955248	1	0
31117	0.0	0	0
26143	23.083656	0	0
29019	0.0	0	0
29111	4.123152	0	0
13301	5.53833	0	0
17193	8.534355	0	0
41025	5.538805	1	0
56031	4.56065	0	0
48357	4.34651	0	0
25005	0.0	0	0
26009	23.056103999999998	0	0
26085	11.67264	0	0
27003	0.0	0	0
29075	3.1241339999999997	0	0
24013	0.0	0	0
26011	17.597345999999998	0	0
26015	42.634909	0	0
26029	26.210324	0	0
26121	0.0	0	0
27055	13.943819999999999	0	0
27071	9.866716	0	0
27013	9.261008	0	0
29013	17.421612	0	0
29161	0.0	0	0
31099	0.0	0	0
27159	8.931275	0	0
40093	2.5058040000000004	1	0
19003	0.0	2	0
48109	0.0	2	0
20199	0.0	1	0
48131	5.348064	1	0
48093	5.532757999999999	0	0
24019	0.0	0	0
26007	23.067785999999998	0	0
26019	17.05353	0	0
26109	16.874436	0	0
26133	21.425976000000002	0	0
