book_id,extract_id
M-001,TB-655
M-001,LB-035
M-001,TB-022
M-002,TB-656
M-002,LB-036
M-003,TB-657
M-003,LB-037
M-004,TB-023
M-005,TB-175
M-005,HD-372
M-006,TB-176
M-006,HD-373
M-007,WN-164
M-008,WN-194
M-009,WN-152
M-010,WN-186
M-011,WN-209
M-012,WN-213
M-013,WN-214
M-013,WN-192
M-014,WN-190
M-014,WN-166
M-015,WN-160
M-016,WN-205
M-017,WN-053
M-018,TB-658
M-018,LB-038
M-019,TB-230
M-019,HD-244
M-019,TB-665
M-020,TB-218
M-020,HD-232
M-021,TB-248
M-021,HD-255
M-022,TB-249
M-022,HD-256
M-022,LB-105
M-023,TB-015
M-023,HD-584
M-024,TB-178
M-024,HD-375
M-024,LB-108
M-025,TB-250
M-025,HD-257
M-025,LB-106
M-026,TB-251
M-026,HD-258
M-026,LB-107
M-027,TB-177
M-027,HD-374
M-027,TB-252
M-027,HD-259
M-028,TB-201
M-028,HD-040
M-029,TB-187
M-029,HD-041
M-030,TB-244
M-030,HD-105
M-031,TB-259
M-031,HD-266
M-032,LF-035
M-033,TB-216
M-033,HD-230
M-033,TB-217
M-033,HD-231
M-034,TB-262
M-034,HD-044
M-035,TB-256
M-035,HD-263
M-035,TB-257
M-035,HD-264
M-035,WN-083
M-035,TB-667
M-036,TB-238
M-036,HD-081
M-037,WN-095
M-038,TB-240
M-038,HD-042
M-038,TB-234
M-038,HD-248
M-038,TB-542
M-038,HD-487
M-039,WN-069
M-040,WN-080
M-041,WN-085
M-042,TB-373
M-042,HD-096
M-043,TB-126
M-043,HD-101
M-044,TB-127
M-044,HD-102
M-045,TB-486
M-045,HD-038
M-045,TB-584
M-045,HD-558
M-046,TB-320
M-046,HD-106
M-047,TB-188
M-047,HD-043
M-048,TB-241
M-048,HD-045
M-049,TB-200
M-049,HD-048
M-050,TB-258
M-050,HD-265
M-051,LB-042
M-051,LB-043
M-051,LB-051
M-051,LF-098
M-052,LF-036
M-053,TB-253
M-053,HD-260
M-054,TB-575
M-054,HD-549
M-055,WN-081
M-056,WN-153
M-056,WN-155
M-057,TB-605
M-057,TB-026
M-058,WN-161
M-058,WN-171
M-059,TB-239
M-059,HD-034
M-059,TB-247
M-059,HD-254
M-059,TB-587
M-059,HD-561
M-060,TB-243
M-060,HD-104
M-061,TB-189
M-061,HD-047
M-062,WN-052
M-063,TB-207
M-063,HD-221
M-064,TB-182
M-064,HD-379
M-065,TB-197
M-065,HD-390
M-066,TB-316
M-066,HD-358
M-067,TB-356
M-067,HD-103
M-068,TB-202
M-068,HD-216
M-069,TB-203
M-069,HD-217
M-070,TB-204
M-070,HD-218
M-071,TB-205
M-071,HD-219
M-072,TB-206
M-072,HD-220
M-072,WN-169
M-072,WN-170
M-073,TB-245
M-073,HD-252
M-073,LB-109
M-074,TB-246
M-074,HD-253
M-074,LB-110
M-075,TB-237
M-075,HD-251
M-075,WN-173
M-075,WN-184
M-075,WN-216
M-076,TB-208
M-076,HD-222
M-076,TB-209
M-076,HD-223
M-077,TB-224
M-077,HD-238
M-077,WN-022
M-078,TB-242
M-078,HD-049
M-079,TB-229
M-079,HD-243
M-080,WN-181
M-081,TB-219
M-081,HD-233
M-081,TB-220
M-081,HD-234
M-081,TB-221
M-081,HD-235
M-081,TB-222
M-081,HD-236
M-082,TB-232
M-082,HD-246
M-082,TB-543
M-082,HD-488
M-083,TB-231
M-083,HD-245
M-083,WN-089
M-084,TB-236
M-084,HD-250
M-085,TB-453
M-085,HD-046
M-086,TB-580
M-086,HD-554
M-087,TB-544
M-087,HD-039
M-087,WN-087
M-088,WN-082
M-089,WN-068
M-090,TB-210
