-- S14 FracFocus water rows joined to their disclosure: operator, place, total base water gallons
WATER_SOURCE_ID | DISCLOSURE_ID | API_NUMBER | STATE_NAME | COUNTY_NAME | OPERATOR_NAME | W_OPERATOR | WELL_NAME | DESCRIPTION | PERCENT | TOTAL_BASE_WATER_VOLUME | TOTAL_BASE_NON_WATER_VOLUME | TVD | FF_VERSION | FEDERAL_WELL | INDIAN_WELL | LATITUDE | LONGITUDE
b92b309d-3b65-4abb-a034-e091aa4755a2 | 00019a00-3292-420b-b72a-84a936a79d3d | 42317465480000 | Texas | Martin | Cutbow Operating LLC | Cutbow Operating LLC | Madison 35-26-C U 05WB | Groundwater, < 1000TDS | 100.00000000 | 29836167.0000 | 0.0000 | 9065.7874 | 4 | False | False | 32.20254500 | -101.82340300
18e4f0a6-75dd-4944-8370-e5657abc2edf | 00022002-856f-44ed-810b-9e20ea290d8c | 42479449780000 | Texas | Webb | SM Energy | SM Energy | BRISCOE C (SA16) STATE 1248H | Groundwater, < 1000TDS | 100.00000000 | 18866652.0000 | 0.0000 | 7300.0000 | 4 | False | False | 28.12972900 | -99.93528200
d51725a3-88db-47d4-9eb5-dead5f48be49 | 0005ec2a-c633-4b64-9f89-a2edef38b6e1 | 42181316400000 | Texas | Grayson | Felderhoff Production Co | Felderhoff Production Co | McConnell 1 | Groundwater, < 1000TDS | 100.00000000 | 14330.0000 | 0.0000 | 5501.0000 | 4 | False | False | 33.59850800 | -96.83895700
21120313-1698-4a31-abd0-4b71d61774bc | 00079753-d455-43f7-a2de-8b4ee85101dd | 42389411160000 | Texas | Reeves | MEWBOURNE OIL COMPANY | MEWBOURNE OIL COMPANY | STATE CAHILL 19-18 W101ML | Groundwater, > 1000TDS | 100.00000000 | 19250532.0000 | 0.0000 | 9994.0000 | 4 | False | False | 31.47724700 | -103.80327700
b723089d-2eb5-45fd-8340-6aab4cd8adab | 0007fd86-f1d5-4e24-a890-43ac095a995a | 25085220660000 | Montana | Roosevelt | Kraken Operating LLC | Kraken Operating LLC | Powers 20-29-32 4H | Groundwater, < 1000TDS | 100.00000000 | 17085302.9340 | 0.0000 | 10355.0000 | 4 | False | False | 48.17046800 | -104.11850100
9195a248-7d2f-4582-9c68-61ff6209c683 | 000d1801-4e43-4f2b-94b6-43387d9bd7e1 | 05103126300000 | Colorado | Rio Blanco | QB Energy Operating LLC | QB Energy Operating LLC | ELU A18 Fed 24D-12-496 | Produced Water | 100.00000000 | 12127500.0000 | 0.0000 | 12964.0000 | 4 | True | False | 39.70902900 | -108.10474200
507bd0b6-d12a-4daa-bc95-09acd7f6da5d | 000e9c1c-6d51-413b-8376-9c5465c60ecd | 30045383180000 | New Mexico | San Juan | DJR OPERATING, LLC | DJR OPERATING, LLC | Ponderosa #114H | Produced Water | 71.00000000 | 3750012.0000 | 0.0000 | 4800.0000 | 4 | True | True | 36.24861000 | -107.83392200
c483502b-5647-42ad-9a17-8ef8c510054f | 000e9c1c-6d51-413b-8376-9c5465c60ecd | 30045383180000 | New Mexico | San Juan | DJR OPERATING, LLC | DJR OPERATING, LLC | Ponderosa #114H | Groundwater, > 1000TDS | 29.00000000 | 3750012.0000 | 0.0000 | 4800.0000 | 4 | True | True | 36.24861000 | -107.83392200
05463cc4-7410-4301-8cf1-25cc32e044cc | 000f7f88-ece8-4c53-92f1-c2f9ed863c9e | 05045245620000 | Colorado | Garfield | TEP Rocky Mountain LLC | TEP Rocky Mountain LLC | Leverich WMC 414-18-793 | Produced Water | 100.00000000 | 5304267.5280 | 0.0000 | 10078.1000 | 4 | False | False | 39.43561200 | -107.82899300
18f9575f-811f-45d9-b9d7-fce42c21b2a8 | 00136255-281c-4db1-baa3-e57d898c954d | 42329476020000 | Texas | Midland | Apache Corporation | Apache Corporation | BUSBY 13HS | Other, > 1000TDS | 18.60000000 | 17446884.0000 | 0.0000 | 8725.0000 | 4 | False | False | 31.70688200 | -102.22155400
