-- S18 raw landing job dates for every FracFocus disclosure (the mart's JOB_START_DATE is empty), parsed locally
DISCLOSUREID | JOBSTARTDATE | JOBENDDATE
e83a310d-4ad0-4ca6-818e-f8ad3dcee66f | 7/7/2014 12:00:00 AM | 7/7/2014 12:00:00 AM
2e4d9d88-56aa-4a6c-a01c-7ad9fad0f152 | 6/14/2014 12:00:00 AM | 7/7/2014 12:00:00 AM
3625b543-8e64-4c80-923e-f406ec9fd389 | 7/1/2014 12:00:00 AM | 7/7/2014 12:00:00 AM
398bce10-3691-4a13-bf2d-fcc0b4f2a887 | 7/7/2014 12:00:00 AM | 7/7/2014 12:00:00 AM
c3a0f2db-8fcd-4104-a4c0-4e5d323512c3 | 7/7/2014 12:00:00 AM | 7/7/2014 12:00:00 AM
e59e14b4-e85b-4aa4-bced-fd0cfd5c044d | 6/30/2014 12:00:00 AM | 7/7/2014 12:00:00 AM
543f3d14-5f77-4af4-8193-271536a25603 | 7/1/2014 12:00:00 AM | 7/7/2014 12:00:00 AM
cb9b2b52-6b32-42c6-ad35-bf91a3f65f99 | 7/3/2014 12:00:00 AM | 7/7/2014 12:00:00 AM
c44e0acb-1ece-4954-9cf2-bf1874493aca | 7/1/2014 12:00:00 AM | 7/7/2014 12:00:00 AM
653c7393-d4d6-4529-90e4-fdca59e83314 | 7/3/2014 12:00:00 AM | 7/7/2014 12:00:00 AM
a1c821a4-0fa5-46a0-bdc9-30273641199d | 7/5/2014 12:00:00 AM | 7/7/2014 12:00:00 AM
7ca98c31-4037-46d1-b1c4-d12c75df0fd7 | 6/25/2014 12:00:00 AM | 7/7/2014 12:00:00 AM
9d34d2b5-18a9-42c7-835a-b9f2929530a4 | 7/7/2014 12:00:00 AM | 7/7/2014 12:00:00 AM
338470bd-fc7d-43cb-91f6-4cd32072e21f | 5/21/2014 12:00:00 AM | 7/7/2014 12:00:00 AM
