-- S11 AQS: extract every site (20,994 rows) for local time and distance math
AQS_SITE_ID | STATE_CODE | COUNTY_CODE | SITE_NUMBER | LATITUDE | LONGITUDE | LAND_USE | LOCATION_SETTING | SITE_ESTABLISHED_DATE | SITE_CLOSED_DATE | OWNING_AGENCY | LOCAL_SITE_NAME | ADDRESS | CITY_NAME | COUNTY_NAME | STATE_NAME | CBSA_NAME | TRIBE_NAME
01-033-0001 | 01 | 033 | 0001 | 34.737034 | -87.886701 | AGRICULTURAL | RURAL | 1973-01-01 | 1997-12-31 | Al Dept Of Env Mgt |  | 2.3 MI W OF COLBERT POWER PLANT | Not in a city | Colbert | Alabama | Florence-Muscle Shoals, AL | 
01-033-0002 | 01 | 033 | 0002 | 34.781787 | -87.646127 | INDUSTRIAL | RURAL | 1973-01-01 | 1976-12-31 | Al Dept Of Env Mgt |  | 0.7 MI WNW OF OACD | Not in a City | Colbert | Alabama | Florence-Muscle Shoals, AL | 
01-033-0003 | 01 | 033 | 0003 | 34.770676 | -87.646127 | INDUSTRIAL | RURAL | 1973-01-01 | 1974-12-31 | Al Dept Of Env Mgt |  | 0.6 MI N OF OACD | Not in a City | Colbert | Alabama | Florence-Muscle Shoals, AL | 
01-033-0004 | 01 | 033 | 0004 | 34.771231 | -87.628348 | INDUSTRIAL | RURAL | 1973-01-01 | 1976-12-31 | Al Dept Of Env Mgt |  | 1.2 MI NE OF OACD | Muscle Shoals | Colbert | Alabama | Florence-Muscle Shoals, AL | 
01-033-0005 | 01 | 033 | 0005 | 34.762064 | -87.64946 | AGRICULTURAL | RURAL | 1973-01-01 | 1974-12-31 | Al Dept Of Env Mgt |  | 1.1 MI S OF OACD | Not in a City | Colbert | Alabama | Florence-Muscle Shoals, AL | 
01-033-0006 | 01 | 033 | 0006 | 34.764009 | -87.661683 | INDUSTRIAL | RURAL | 1973-01-01 | 1974-12-31 | Al Dept Of Env Mgt |  | 1.3 MI SW OF OACD | Not in a City | Colbert | Alabama | Florence-Muscle Shoals, AL | 
01-033-0007 | 01 | 033 | 0007 | 34.760089 | -87.665029 | INDUSTRIAL | RURAL | 1973-01-01 | 1997-12-31 | Al Dept Of Env Mgt |  | 1.5 MI SW OF OACD | Not in a city | Colbert | Alabama | Florence-Muscle Shoals, AL | 
01-033-0008 | 01 | 033 | 0008 | 34.760922 | -87.643085 | AGRICULTURAL | RURAL | 1973-01-01 | 1997-12-31 | Al Dept Of Env Mgt |  | 1.2 MI S OF OACD | Not in a city | Colbert | Alabama | Florence-Muscle Shoals, AL | 
01-033-0009 | 01 | 033 | 0009 | 34.783453 | -87.651127 | INDUSTRIAL | RURAL | 1973-01-01 | 1977-12-31 | Al Dept Of Env Mgt |  | 0.4 MI NW OF OACD | Not in a City | Colbert | Alabama | Florence-Muscle Shoals, AL | 
01-033-0010 | 01 | 033 | 0010 | 34.780676 | -87.636126 | INDUSTRIAL | RURAL | 1973-01-01 | 1974-12-31 | Al Dept Of Env Mgt |  | 0.6 MI ENE OF OACD | Not in a City | Colbert | Alabama | Florence-Muscle Shoals, AL | 
