-- S13 census tracts: 2020 population and population-center point, for people-near-plant counts
TRACT_GEOID | COUNTY_FIPS | POPULATION_2020 | POP_CENTER_LAT | POP_CENTER_LON
47157020621 | 47157 | 7036 | 35.193559 | -89.880959
47157020622 | 47157 | 4347 | 35.194518 | -89.858996
47157020632 | 47157 | 5689 | 35.220176 | -89.808332
47157020633 | 47157 | 2920 | 35.223216 | -89.825253
47157020634 | 47157 | 2836 | 35.217814 | -89.842113
47157020635 | 47157 | 2576 | 35.235828 | -89.831471
47157020651 | 47157 | 6642 | 35.214162 | -89.880519
47157020652 | 47157 | 5230 | 35.214765 | -89.854853
47157020653 | 47157 | 4173 | 35.257159 | -89.831298
47157020654 | 47157 | 5138 | 35.2549 | -89.800095
47157020655 | 47157 | 3160 | 35.229167 | -89.856075
47157020656 | 47157 | 5147 | 35.242068 | -89.850358
47157020657 | 47157 | 5033 | 35.256042 | -89.85958
47157020658 | 47157 | 5098 | 35.228867 | -89.881562
47157020700 | 47157 | 2547 | 35.347141 | -89.781181
47157020833 | 47157 | 5858 | 35.237909 | -89.777396
47157020834 | 47157 | 3057 | 35.221294 | -89.759902
47157020835 | 47157 | 2564 | 35.349613 | -89.714343
47157020836 | 47157 | 8194 | 35.251643 | -89.731627
47157020837 | 47157 | 7686 | 35.222075 | -89.719084
47157020901 | 47157 | 5762 | 35.274353 | -89.671024
47157020902 | 47157 | 6867 | 35.28974 | -89.657023
47157021020 | 47157 | 7444 | 35.140915 | -89.707361
47157021021 | 47157 | 6566 | 35.190443 | -89.745759
47157021022 | 47157 | 6856 | 35.168147 | -89.725995
47157021023 | 47157 | 5247 | 35.191995 | -89.705445
47157021111 | 47157 | 4120 | 35.183739 | -89.849635
47157021112 | 47157 | 6975 | 35.194604 | -89.827893
47157021113 | 47157 | 3808 | 35.19657 | -89.805977
47157021121 | 47157 | 4888 | 35.174747 | -89.815713
47157021122 | 47157 | 5637 | 35.161937 | -89.846521
47157021124 | 47157 | 8045 | 35.158611 | -89.826868
47157021125 | 47157 | 4495 | 35.151976 | -89.805266
47157021126 | 47157 | 4312 | 35.165638 | -89.802022
47157021135 | 47157 | 6576 | 35.16928 | -89.785811
47157021136 | 47157 | 5284 | 35.168037 | -89.768924
47157021138 | 47157 | 4213 | 35.144421 | -89.758328
47157021139 | 47157 | 4273 | 35.117895 | -89.763952
47157021140 | 47157 | 4740 | 35.124805 | -89.785853
47157021141 | 47157 | 7638 | 35.188339 | -89.764427
47157021142 | 47157 | 3636 | 35.191598 | -89.780935
47157021143 | 47157 | 4419 | 35.147852 | -89.780735
47157021144 | 47157 | 3768 | 35.137534 | -89.784435
47157021200 | 47157 | 1689 | 35.156241 | -89.867797
47157021311 | 47157 | 4850 | 35.114474 | -89.853212
47157021312 | 47157 | 2100 | 35.10675 | -89.838013
47157021320 | 47157 | 5989 | 35.091524 | -89.851667
47157021331 | 47157 | 3500 | 35.081523 | -89.858688
47157021333 | 47157 | 3988 | 35.072714 | -89.833858
47157021334 | 47157 | 3682 | 35.062501 | -89.828054
47157021341 | 47157 | 5686 | 35.0719 | -89.780474
47157021351 | 47157 | 5273 | 35.099772 | -89.796707
47157021352 | 47157 | 6969 | 35.090551 | -89.777592
47157021354 | 47157 | 6169 | 35.056225 | -89.80213
47157021355 | 47157 | 5383 | 35.060498 | -89.782491
47157021356 | 47157 | 4125 | 35.0803 | -89.742699
47157021357 | 47157 | 5712 | 35.092005 | -89.756545
47157021410 | 47157 | 2983 | 35.108111 | -89.828908
47157021420 | 47157 | 3373 | 35.104884 | -89.812887
47157021430 | 47157 | 4103 | 35.089314 | -89.825504
47157021530 | 47157 | 5956 | 35.057896 | -89.706622
47157021541 | 47157 | 8296 | 35.080743 | -89.685268
47157021542 | 47157 | 4491 | 35.086754 | -89.717886
47157021543 | 47157 | 4589 | 35.013361 | -89.692593
47157021544 | 47157 | 3294 | 35.041758 | -89.708908
47157021545 | 47157 | 3524 | 35.030327 | -89.708235
47157021546 | 47157 | 3770 | 35.0268 | -89.747096
47157021547 | 47157 | 6507 | 35.021902 | -89.785842
47157021548 | 47157 | 3058 | 35.043332 | -89.774814
47157021611 | 47157 | 6080 | 35.062464 | -89.676713
47157021612 | 47157 | 4485 | 35.059744 | -89.661024
47157021613 | 47157 | 4537 | 35.059376 | -89.648896
47157021620 | 47157 | 3067 | 35.036462 | -89.670145
47157021710 | 47157 | 2772 | 35.069027 | -89.869312
47157021721 | 47157 | 4860 | 35.060779 | -89.861373
47157021724 | 47157 | 2283 | 35.054164 | -89.837552
47157021725 | 47157 | 3798 | 35.063809 | -89.849576
47157021731 | 47157 | 2855 | 35.045515 | -89.876858
47157021744 | 47157 | 5802 | 35.037045 | -89.822452
47157021745 | 47157 | 8226 | 35.029285 | -89.809318
(85391 rows; csv has all)
