-- S05 crosswalk: 60 random matched rows to eyeball the name match
EPA_REGISTRY_ID | FACILITY_NAME | MATCHED_LEGAL_NAME | MATCH_METHOD | MATCH_CONFIDENCE | PARENT_LEGAL_NAME | PARENT_CIK | PARENT_UEI
110020562531 | LOWE'S OF VENICE FL | Lowe's Companies, Inc. | brand | 0.85 | Lowe's Companies, Inc. |  | 
110072214940 | ALLIED METAL CO | ALLIED METAL CO. | exact | 1.00 | ALLIED METAL CO. |  | 
110070314532 | REPUBLIC SERVICES OF FLORIDA LP D/B/A ALL SERIVCE | REPUBLIC SERVICES, INC. | brand | 0.85 | REPUBLIC SERVICES, INC. | 1060391 | 
110002242378 | EXXON COMPANY USA NUMBER 46706 | EXXONMOBIL OIL CORPORATION | brand | 0.85 | EXXONMOBIL HOLDINGS CORPORATION |  | 
110045969699 | CVS PHARMACY #2759 | CVS HEALTH CORPORATION | brand | 0.85 | CVS HEALTH CORPORATION |  | 
110055476266 | WALGREENS STORE  #19660 | WALGREEN CO. | brand | 0.85 | WALGREEN CO. |  | 
110022395479 | WAL-MART STORE NO. 1875 | WALMART INC. | brand | 0.85 | WALMART INC. | 104169 | 
110067550821 | DOLLAR TREE #06526 | DOLLAR TREE, INC. | brand | 0.85 | DOLLAR TREE, INC. | 935703 | 
110065673060 | CIRCLE K STORE #2211292 | CIRCLE K STORES INC. | brand | 0.85 | CIRCLE K STORES INC. |  | 
110066047557 | CHEVRON | Chevron U.S.A. Inc. | brand | 0.85 | Chevron U.S.A. Inc. |  | 
110066197305 | SHELL OIL CO 204-3594-0505 | SHELL USA, INC. | brand | 0.85 | SHELL PLC | 1306965 | 
110055826502 | PG&E: SAN ANDREAS SUBSTATION | PACIFIC GAS AND ELECTRIC COMPANY | brand | 0.85 | PG&E CORPORATION |  | 
110031434268 | CON EDISON MANHOLE 64816 | CONSOLIDATED EDISON, INC. | brand | 0.85 | CONSOLIDATED EDISON, INC. | 1047862 | 
110062945531 | CON EDISON SERVICE BOX: 22644 | CONSOLIDATED EDISON, INC. | brand | 0.85 | CONSOLIDATED EDISON, INC. | 1047862 | 
110055472215 | RITE AID NO 478 | Rite Aid Corporation | brand | 0.85 | Rite Aid Corporation |  | 
110008378987 | CHEVRON USA INC | Chevron U.S.A. Inc. | brand | 0.85 | Chevron U.S.A. Inc. |  | 
110062971468 | CON EDISON SERVICE BOX: 76785 | CONSOLIDATED EDISON, INC. | brand | 0.85 | CONSOLIDATED EDISON, INC. | 1047862 | 
110063814485 | CON EDISON MANHOLE: 1573 | CONSOLIDATED EDISON, INC. | brand | 0.85 | CONSOLIDATED EDISON, INC. | 1047862 | 
110004624906 | SHERWIN-WILLIAMS CO THE | THE SHERWIN-WILLIAMS COMPANY | brand | 0.85 | THE SHERWIN-WILLIAMS COMPANY |  | 
110067680361 | CON EDISON | CONSOLIDATED EDISON, INC. | brand | 0.85 | CONSOLIDATED EDISON, INC. | 1047862 | 
110070458773 | CON EDISON - TRANSFORMER MANHOLE 4710 | CONSOLIDATED EDISON, INC. | brand | 0.85 | CONSOLIDATED EDISON, INC. | 1047862 | 
110030994360 | CHEVRON #255 | Chevron U.S.A. Inc. | brand | 0.85 | Chevron U.S.A. Inc. |  | 
110066951052 | WALMART SUPERCENTER #31 | WALMART INC. | brand | 0.85 | WALMART INC. | 104169 | 
