-- S04 crosswalk: the 50 matched companies holding the most facilities, with sample facility names
MATCHED_LEGAL_NAME | PARENT_LEGAL_NAME | CIK | UEI | FACILITIES | METHODS | FIRST_WORD_HIT | SAMPLE_FAC
CONSOLIDATED EDISON, INC. | CONSOLIDATED EDISON, INC. | 1047862 |  | 50931 | fuzzy,exact,brand | 406 | CONSOLIDATED EDISON INC - RVS2788 / CONSOLIDATED EDISON INC - V6262 / CON EDISON  - P 6 / CON EDISON  - VS 1532 / CON EDISON MANHOLE 20964 / CON EDISON - MANHOLE 15
CVS HEALTH CORPORATION | CVS HEALTH CORPORATION |  | ZK27LU473Y27 | 13309 | brand | 13309 | CVS PHARMACY #1821 / CVS PHARMACY 2590 / CVS PHARMACY 8734 / CVS PHARMACY 16448 / CVS PHARMACY #0327 / CVS PHARMACY #0998
AT&T INC. | AT&T INC. | 732717 | QVR1QLYEMNF3 | 12851 | brand,exact | 7822 | NEW CINGULAR WIRELESS - 1952 CR 57 / AT&T MOBILITY - SHEPHERD & SUNNYSIDE (85802) / PACIFIC BELL YUBA CITY SITE / AT&T MOBILITY - LOS ALAMITOS OVLY 11995 / AT&T WIRELESS TARBOO / AT&T EDGEFIELD (A01XAD3)
VERIZON COMMUNICATIONS INC. | VERIZON COMMUNICATIONS INC. | 732712 | XKWWL21ZMDD5 | 12555 | exact,brand | 12555 | VERIZON WIRELESS - CLAYTON / VERIZON WIRELESS TEMPLETON WEST / VERIZON WIRELESS: CHERRY CREEK / VERIZON WIRELESS: LARKWOOD / VERIZON WIRELESS WESTDALE FIELDCREST / VERIZON WIRELESS: CRAIG
EXXONMOBIL OIL CORPORATION | EXXONMOBIL HOLDINGS CORPORATION |  | Q1LKV3JKDLA9 | 9793 | brand,exact | 1483 | MOBIL OIL CORP SS 255 / MOBIL OIL CORP SS 271 / EXXON / EXXON RAS #46750 / EXXON FOOD SHOP #23 / EXXON SERVICE STATION #32156
WALMART INC. | WALMART INC. | 104169 | J9YBEK8LCPT6 | 8239 | exact,brand | 5429 | WAL-MART SUPERCENTER 0253 / WAL-MART #0860 / WALMART SUPERCENTER #3710 / WALMART #5274 / WALMART SUPERCENTER 1761 / WALMART SORTATION CENTER 7827
WALGREEN CO. | WALGREEN CO. |  |  | 7701 | brand | 7701 | WALGREENS #3247 / WALGREEN'S #13030 NWC EAST BAY / WALGREEN'S #15023 / WALGREENS STORE #4481 / WALGREENS DRUG STORE 19024 / WALGREENS #5251
DOLLAR GENERAL CORPORATION | DOLLAR GENERAL CORPORATION |  |  | 7514 | fuzzy,exact,brand | 7514 | DOLLAR GENERAL STORE HILLIARD, / DOLLAR GENERAL STORE #31254 / DOLLAR GENERAL STORE #589 / DOLLAR GENERAL STORE #16805 / DOLLAR GENERAL 19127 / DOLLAR GENERAL STORE #6575
DOLLAR TREE, INC. | DOLLAR TREE, INC. | 935703 |  | 7427 | exact,brand,fuzzy | 7427 | FAMILY DOLLAR #6574 / FAMILY DOLLAR STORES OF IOWA LLC 4844 / FAMILY DOLLAR STORES OF DE, LLC. #8260 / FAMILY DOLLAR 6682 / DOLLAR TREE #08642 / FAMILY DOLLAR #1351
Chevron U.S.A. Inc. | Chevron U.S.A. Inc. |  | KSJZFGY7XAW5 | 7302 | exact,brand | 7302 | CHEVRON #201812 / CHEVRON - RANGELY WEBER WEST FIELD FLARE / CHEVRON MIDCONTINENT - STATE 1-36 / CHEVRON 95054 / CHEVRON #1959 / CHEVRON #9-3657
7-Eleven, Inc. | 7-Eleven, Inc. |  |  | 6631 | exact,fuzzy,brand | 366 | 7-ELEVEN, INC. - NO 13194 / 7- ELEVEN 38286 / 7-ELEVEN STORE NO. 41371 / 7-ELEVEN 32655 / 7-ELEVEN INC. STORE #34344 / 7-ELEVEN 34656
