-- S09 FracFocus water: every DESCRIPTION value, percent shape, landing rate in the disclosure list
DESCRIPTION | N | DISCL | LANDED | PCT_SUM | PCT_MED | PCT0 | PCT_NULL | PCT_OVER100 | OPS | STATES
 | 23747 | 20302 | 23747 | 2021793.14000000 | 100.00000000000 | 249 | 0 | 0 | 580 | 19
Groundwater, < 1000TDS | 8429 | 8375 | 8429 | 765030.34000000 | 100.00000000000 | 93 | 0 | 0 | 405 | 15
Produced Water | 7954 | 7907 | 7954 | 599598.70000000 | 100.00000000000 | 94 | 0 | 0 | 157 | 12
Surface Water, < 1000TDS | 3358 | 3358 | 3358 | 314935.35000000 | 100.00000000000 | 38 | 0 | 0 | 200 | 17
Groundwater, > 1000TDS | 2631 | 2625 | 2631 | 218865.86000000 | 100.00000000000 | 20 | 0 | 0 | 164 | 8
Other, > 1000TDS | 557 | 557 | 557 | 47941.21000000 | 100.00000000000 | 1 | 0 | 0 | 43 | 9
Surface Water, > 1000TDS | 550 | 550 | 550 | 52067.84000000 | 100.00000000000 | 3 | 0 | 0 | 66 | 12
Other, < 1000TDS | 268 | 268 | 268 | 23353.84000000 | 100.00000000000 | 0 | 0 | 0 | 41 | 11
(8 rows; csv has all)
