-- S12 TRI 2023 per facility: air and carcinogen-air pounds, coordinates, TRI's own parent name, left-joined to the corporate crosswalk
FRS | TRIFD | NAME | CITY | COUNTY | ST | LAT | LON | PARENT_RAW | PARENT_STD | SECTOR | AIR_LBS | CARC_AIR_LBS | CARC_CHEMS | TOP_CARC | FORMS | XW_FAC | MATCHED_LEGAL_NAME | PARENT_LEGAL_NAME | MATCH_METHOD | PARENT_CIK | IN_XW
110007976896 | 88240CHMPN2MILE | CHAMPIONX-HOBBS | HOBBS | LEA | NM | 32.743331 | -103.164046 |  | CHAMPIONX CORP | Chemical Wholesalers | 3701.41 | 0.0 | 2 | Ethylbenzene | 10 | CHAMPION TECHNOLOGIES INC | Champion Technologies, Inc | Champion Technologies, Inc | exact |  | True
110070557911 | 0741WCSMDF19PAR | COSMED OF NEW JERSEY | FRANKLIN | SUSSEX | NJ | 41.127792 | -74.591009 | COSMED GROUP INC | COSMED GROUP INC | Miscellaneous Manufacturing | 49.0 | 49.0 | 1 | Ethylene oxide | 1 | COSMED OF NEW JERSEY |  |  |  |  | True
110071285366 | 0864WPHNRY2FARG | OLDCASTLE APG | FORT DIX | BURLINGTON | NJ | 40.03517 | -74.62769 | CRH AMERICAS INC | CRH AMERICAS INC | Nonmetallic Mineral Product | 0.001 | 0.0 | 0 |  | 1 | EP HENRY |  |  |  |  | True
110067143996 | 0886WCSTMB975HB | CUSTOM BUILDING PRODUCTS | PERTH AMBOY | MIDDLESEX | NJ | 40.52184 | -74.261084 | QUIKRETE HOLDINGS | QUIKRETE HOLDINGS | Machinery | 0.135 | 0.135 | 1 | Lead | 1 | CUSTOM BUILDING PRODUCTS |  |  |  |  | True
110000600813 | 87002XXVNT1945H | ARISTECH SURFACES LLC | BELEN | VALENCIA | NM | 34.532017 | -106.76202 | TRINSEO LLC | TRINSEO US HOLDING INC | Plastics and Rubber | 1806.0 | 1445.0 | 1 | Styrene | 2 | POLYMER PANEL PLANT |  |  |  |  | True
110070559736 | 0810WKRSHN1HLTE | KRISHNA P.SINGH TECHNOLOGY CAMPUS | CAMDEN | CAMDEN | NJ | 39.912764 | -75.119834 |  |  | Fabricated Metals | 1.374 | 0.88 | 1 | Nickel | 3 | KRISHNA P.SINGH TECHNOLOGY CAMPUS |  |  |  |  | True
110071433903 | 0782WPVSTN21RID | PAVESTONE CST - BRANCHVILLE NJ PLANT | BRANCHVILLE | SUSSEX | NJ | 41.159435 | -74.769451 | QUIKRETE HOLDINGS | QUIKRETE HOLDINGS | Nonmetallic Mineral Product | 0.14200000000000002 | 0.14200000000000002 | 1 | Lead | 1 | PAVESTONE CST - BRANCHVILLE, NJ PLANT |  |  |  |  | True
110000602214 | 88004NSJHN14MIL | NASA JOHNSON SPACE CENTER WHITE SANDS TEST FACILITY | LAS CRUCES | DONA ANA | NM | 32.453997 | -106.61402 |  | NATIONAL AERONAUTICS & SPACE ADMINISTRATION | Other | 1.0 | 1.0 | 1 | Lead | 1 | NASA JOHNSON SPACE CENTER WHITE SANDS TEST FACILITY |  |  |  |  | True
110070244578 | 0700WHNRYC23CMM | HENRY CO | FAIRFIELD | ESSEX | NJ | 40.871859 | -74.319652 |  | HENRY CO | Chemicals | 0.0 | 0.0 | 0 |  | 1 | HENRY COMPANY |  |  |  |  | True
110070244790 | 0887WGLXXX2RSEV | AGILEX FLAVORS & FRAGRANCES | SOMERSET | SOMERSET | NJ | 40.483209 | -74.510381 | FIRMENICH INC | FIRMENICH INC | Chemicals | 0.0 | 0.0 | 0 |  | 1 | AGILEX |  |  |  |  | True
110017347771 | 87107KCHMT4949E | HF SINCLAIR ASPHALT CO LLC - ALBUQUERQUE NM | ALBUQUERQUE | BERNALILLO | NM | 35.130213 | -106.630906 | HF SINCLAIR CORP | HF SINCLAIR CORP | Petroleum | 0.045 | 0.039 | 1 | Polycyclic aromatic compounds | 2 | ALBUQUERQUE ASPHALT PLANT |  |  |  |  | True
110042049253 | 88330SRFRCHWY70 | US DOD USAF HOLLOMAN AFB RANGE | HOLLOMAN AFB | OTERO | NM | 32.836546 | -106.078504 | US DEPARTMENT OF DEFENSE | US DEPARTMENT OF DEFENSE | Other | 910.1 | 910.0 | 3 | Ethylbenzene | 6 | HOLLOMAN AIR FORCE BASE |  |  |  |  | True
110017237667 | 8711WSTTCH541VE | STA TECHNOLOGIES INC | ALBUQUERQUE | BERNALILLO | NM | 35.196124 | -106.584409 |  | SICPA SECURINK CORP | Chemicals | 5.0 | 0.0 | 0 |  | 1 | STA TECHNOLOGIES INC |  |  |  |  | True
110060260658 | 8804WSCBPL26PIP | US CBP LORDSBURG BORDER PATROL STATION #NM0153 | LORDSBURG | HIDALGO | NM | 32.346877 | -108.744684 | US DEPARTMENT OF HOMELAND SECURITY | US DEPARTMENT OF HOMELAND SECURITY | Other | 0.0 | 0.0 | 1 | Lead | 1 | US CBP LORDSBURG BORDER PATROL STATION #NM0153 |  |  |  |  | True
110001560560 | 8940WPLYGL15LYN | POLYGLASS USA INC | FERNLEY | LYON | NV | 39.604606 | -119.206653 |  | POLYGLASS USA INC | Petroleum | 1.9 | 1.9 | 1 | Polycyclic aromatic compounds | 1 | POLYGLASS |  |  |  |  | True
110004296592 | 89820CHBYM1MCCO | AU-REKA GOLD CORPORATION - MCCOY COVE | BATTLE MOUNTAIN | LANDER | NV | 40.636368 | -116.954119 | PREMIER GOLD MINES USA INC | TTM TECHNOLOGIES INC | Metal Mining | 0.0 | 0.0 | 0 |  | 1 | NEWMONT MINING CORP MCCOY/COVE MINE |  |  |  |  | True
