line,fy,below,above,at_line,ratio,cliff_active
350k,2019,2364,329,1874,7.2,false
350k,2020,1876,279,1435,6.7,false
350k,2021,2092,446,1445,4.7,false
350k,2022,2453,151,1872,16.2,true
350k,2023,2501,326,1937,7.7,false
350k,2024,1648,524,1237,3.1,false
350k,2025,2519,512,1951,4.9,false
350k,2026,1711,117,1465,14.6,true
500k,2019,546,288,285,1.9,false
500k,2020,568,271,313,2.1,false
500k,2021,994,401,631,2.5,false
500k,2022,835,293,563,2.8,false
500k,2023,1615,234,1182,6.9,true
500k,2024,2885,215,2394,13.4,true
500k,2025,4008,272,3407,14.7,true
500k,2026,536,115,435,4.7,false
1m,2019,298,92,179,3.2,false
1m,2020,291,86,203,3.4,false
1m,2021,651,165,453,3.9,false
1m,2022,263,95,156,2.8,false
1m,2023,480,38,304,12.6,true
1m,2024,752,31,485,24.3,true
1m,2025,737,72,466,10.2,true
1m,2026,157,56,97,2.8,false
2m,2019,114,26,80,4.4,false
2m,2020,119,29,87,4.1,false
2m,2021,195,55,145,3.5,false
2m,2022,112,35,77,3.2,false
2m,2023,147,29,109,5.1,false
2m,2024,291,11,227,26.5,true
2m,2025,166,44,117,3.8,false
2m,2026,59,14,39,4.2,false
