line,fy,observed,expected,excess
350k,2022,2453,2070,383
500k,2023,1615,824,791
500k,2024,2885,1010,1875
500k,2025,4008,1122,2886
1m,2023,480,481,-1
1m,2024,752,589,163
1m,2025,737,655,82
2m,2024,291,205,86
