-- K01 headline re-derive (builder's exact population and key) plus robustness: excluding the top 4 addresses, same-year concentration (addresses with 100+/50+ formations that year), top-10 share per year, a coarser first-part key, weekend-dated rows, and the rows the builder dropped for no address
Y | N | AT1000 | AT1000_EX_TOP4 | TOP4N | SY100 | SY50 | TOP10 | A1_SY100 | WKEND | WKEND_AT1000 | ALL_ROWS | NOADDR_N
-1 | 16689 | 2 |  |  |  |  |  |  |  |  | 16689 | 16523
1960 | 369 | 5 | 5 | 0 | 0 | 0 | 18 | 0 | 7 | 0 | 381 | 12
1961 | 393 | 8 | 8 | 0 | 0 | 0 | 27 | 0 | 17 | 0 | 401 | 8
1962 | 451 | 6 | 6 | 0 | 0 | 0 | 27 | 0 | 26 | 0 | 462 | 11
1963 | 530 | 11 | 11 | 0 | 0 | 0 | 38 | 0 | 34 | 3 | 540 | 10
1964 | 610 | 16 | 15 | 1 | 0 | 0 | 44 | 0 | 35 | 1 | 622 | 12
1965 | 679 | 13 | 13 | 0 | 0 | 0 | 51 | 0 | 0 | 0 | 689 | 10
1966 | 728 | 16 | 15 | 1 | 0 | 0 | 48 | 0 | 0 | 0 | 744 | 16
1967 | 847 | 14 | 14 | 0 | 0 | 0 | 55 | 0 | 1 | 0 | 863 | 16
1968 | 1256 | 18 | 17 | 1 | 0 | 0 | 69 | 0 | 0 | 0 | 1316 | 60
1969 | 1787 | 24 | 24 | 0 | 0 | 0 | 117 | 0 | 0 | 0 | 1809 | 22
1970 | 1967 | 36 | 36 | 0 | 0 | 0 | 122 | 0 | 0 | 0 | 2029 | 62
1971 | 2133 | 30 | 29 | 1 | 0 | 0 | 106 | 0 | 0 | 0 | 2295 | 162
1972 | 2936 | 70 | 65 | 5 | 0 | 0 | 138 | 0 | 1 | 0 | 3134 | 198
1973 | 4573 | 185 | 183 | 2 | 103 | 168 | 335 | 103 | 2 | 0 | 4837 | 264
1974 | 4073 | 133 | 133 | 0 | 0 | 87 | 300 | 0 | 1 | 0 | 4329 | 256
1975 | 3141 | 84 | 79 | 5 | 0 | 53 | 169 | 0 | 1 | 0 | 3387 | 246
1976 | 3413 | 51 | 50 | 1 | 0 | 0 | 143 | 0 | 0 | 0 | 3748 | 335
1977 | 3165 | 80 | 79 | 1 | 0 | 0 | 144 | 0 | 0 | 0 | 3439 | 274
1978 | 4685 | 117 | 117 | 0 | 0 | 68 | 233 | 0 | 1 | 0 | 5181 | 496
1979 | 5524 | 113 | 111 | 2 | 0 | 68 | 299 | 0 | 1 | 0 | 6449 | 925
1980 | 6076 | 133 | 130 | 3 | 0 | 123 | 326 | 0 | 2 | 0 | 7074 | 998
1981 | 5942 | 133 | 133 | 0 | 0 | 85 | 249 | 0 | 0 | 0 | 6957 | 1015
1982 | 5048 | 121 | 117 | 4 | 0 | 159 | 306 | 0 | 2 | 0 | 5818 | 770
1983 | 6391 | 180 | 177 | 3 | 0 | 86 | 316 | 0 | 1 | 0 | 6413 | 22
1984 | 6137 | 176 | 171 | 5 | 0 | 69 | 352 | 0 | 0 | 0 | 6139 | 2
1985 | 6564 | 229 | 223 | 6 | 103 | 162 | 332 | 104 | 5 | 0 | 6566 | 2
1986 | 7731 | 260 | 226 | 34 | 109 | 227 | 424 | 216 | 0 | 0 | 7731 | 0
1987 | 8685 | 293 | 238 | 55 | 0 | 225 | 443 | 109 | 0 | 0 | 8686 | 1
1988 | 10978 | 355 | 303 | 52 | 164 | 347 | 509 | 310 | 0 | 0 | 10978 | 0
1989 | 14664 | 898 | 675 | 223 | 513 | 1028 | 970 | 773 | 838 | 85 | 14664 | 0
1990 | 15144 | 1750 | 1028 | 722 | 1701 | 2343 | 1601 | 1930 | 54 | 13 | 15144 | 0
1991 | 14701 | 2649 | 1329 | 1320 | 2779 | 3463 | 2337 | 3150 | 1 | 0 | 14701 | 0
1992 | 14669 | 4136 | 2105 | 2031 | 4560 | 5127 | 3830 | 4646 | 359 | 79 | 14669 | 0
1993 | 14082 | 3627 | 1845 | 1782 | 4206 | 4733 | 3259 | 4534 | 103 | 27 | 14082 | 0
1994 | 15607 | 3929 | 1773 | 2156 | 4617 | 5110 | 3412 | 4823 | 400 | 106 | 15607 | 0
1995 | 16232 | 3761 | 1590 | 2171 | 3716 | 4390 | 3465 | 3960 | 1638 | 431 | 16233 | 1
1996 | 16346 | 3031 | 1238 | 1793 | 3393 | 3930 | 2913 | 3632 | 814 | 190 | 16346 | 0
1997 | 19353 | 3121 | 1200 | 1921 | 3207 | 4062 | 2980 | 3769 | 1955 | 379 | 19354 | 1
1998 | 21155 | 2628 | 962 | 1666 | 2977 | 3909 | 2649 | 3652 | 386 | 85 | 21155 | 0
1999 | 18771 | 723 | 420 | 303 | 410 | 779 | 827 | 670 | 92 | 0 | 18771 | 0
2000 | 18246 | 383 | 215 | 168 | 0 | 396 | 583 | 249 | 746 | 13 | 18247 | 1
2001 | 14375 | 173 | 112 | 61 | 0 | 53 | 286 | 113 | 48 | 0 | 14375 | 0
2002 | 13860 | 182 | 118 | 64 | 0 | 149 | 359 | 125 | 274 | 5 | 13860 | 0
2003 | 14384 | 226 | 144 | 82 | 0 | 138 | 333 | 100 | 45 | 1 | 14384 | 0
2004 | 15696 | 232 | 148 | 84 | 0 | 197 | 407 | 131 | 79 | 0 | 15696 | 0
2005 | 17325 | 284 | 187 | 97 | 0 | 261 | 487 | 128 | 27 | 0 | 17325 | 0
2006 | 19328 | 327 | 215 | 112 | 108 | 347 | 557 | 247 | 14 | 0 | 19328 | 0
2007 | 18820 | 369 | 307 | 62 | 0 | 478 | 593 | 208 | 0 | 0 | 18820 | 0
2008 | 14834 | 260 | 231 | 29 | 0 | 131 | 362 | 102 | 1 | 0 | 14834 | 0
2009 | 13465 | 177 | 162 | 15 | 0 | 0 | 321 | 0 | 2 | 0 | 13465 | 0
2010 | 14160 | 211 | 199 | 12 | 0 | 105 | 382 | 0 | 1 | 0 | 14160 | 0
2011 | 14765 | 298 | 279 | 19 | 105 | 250 | 503 | 105 | 2 | 0 | 14765 | 0
2012 | 14169 | 216 | 205 | 11 | 0 | 177 | 421 | 0 | 3 | 0 | 14169 | 0
2013 | 15690 | 254 | 238 | 16 | 118 | 354 | 591 | 120 | 0 | 0 | 15690 | 0
2014 | 17987 | 359 | 341 | 18 | 207 | 493 | 632 | 315 | 1 | 0 | 17987 | 0
2015 | 19561 | 466 | 457 | 9 | 289 | 789 | 831 | 518 | 1 | 0 | 19561 | 0
2016 | 21047 | 693 | 681 | 12 | 660 | 1289 | 1131 | 916 | 2 | 0 | 21047 | 0
2017 | 22408 | 827 | 810 | 17 | 613 | 884 | 977 | 899 | 1 | 0 | 22408 | 0
2018 | 22518 | 767 | 747 | 20 | 494 | 1042 | 941 | 835 | 2 | 0 | 22518 | 0
2019 | 22796 | 804 | 790 | 14 | 1010 | 1580 | 1254 | 1255 | 1 | 0 | 22796 | 0
2020 | 21929 | 715 | 698 | 17 | 986 | 1398 | 1236 | 1188 | 0 | 0 | 21929 | 0
2021 | 25692 | 1049 | 1020 | 29 | 1014 | 2238 | 1378 | 1940 | 67 | 1 | 25692 | 0
2022 | 21637 | 800 | 782 | 18 | 497 | 1043 | 993 | 818 | 0 | 0 | 21637 | 0
2023 | 22581 | 801 | 784 | 17 | 601 | 1131 | 1019 | 1169 | 6 | 0 | 22581 | 0
2024 | 23835 | 848 | 838 | 10 | 1088 | 1609 | 1272 | 2233 | 240 | 12 | 23835 | 0
2025 | 26533 | 788 | 767 | 21 | 1403 | 2277 | 1403 | 2587 | 126 | 5 | 26533 | 0
2026 | 18191 | 569 | 520 | 49 | 754 | 1295 | 1184 | 1249 | 0 | 0 | 18191 | 0
(68 rows)
