-- K08 name samples: 15 hash-picked 1990s companies at each of the top 3 addresses, and 15 from everywhere else in 1992
GRP | ID | D | NM | TY | ST | RA
20CLANWILLIAMTERRACEDUBLIN2 | 297177 | 1998-11-26 | KASPERSKY LABS INTERNATIONAL LIMITED | Private limited by shares | Dissolved | 20 CLANWILLIAM TERRACE, DUBLIN 2, DUBLIN, DUBLIN, IRELAND
20CLANWILLIAMTERRACEDUBLIN2 | 298221 | 1998-12-09 | FOLLINA LIMITED | Private limited by shares | Dissolved | 20 CLANWILLIAM TERRACE, DUBLIN 2, DUBLIN, DUBLIN, IRELAND
41CENTRALCHAMBERSDAMECOURT | 160286 | 1990-06-11 | NOVA MARKETING LIMITED | Private limited by shares | Dissolved | 41 CENTRAL CHAMBERS, DAME COURT, DUBLIN 2, DUBLIN
41CENTRALCHAMBERSDAMECOURT | 177656 | 1991-08-15 | E.M.C. LIMITED | Private limited by shares | Dissolved | 41 CENTRAL CHAMBERS, DAME COURT, DUBLIN 2, DUBLIN 2, DUBLIN
41CENTRALCHAMBERSDAMECOURT | 196432 | 1992-12-08 | TRANFORD SYSTEMS LIMITED | Private limited by shares | Dissolved | 41 CENTRAL CHAMBERS, DAME COURT, DUBLIN 2, DUBLIN
41CENTRALCHAMBERSDAMECOURT | 198141 | 1993-01-22 | STOCKVIEW LIMITED | Private limited by shares | Dissolved | 41 CENTRAL CHAMBERS, DAME COURT, DUBLIN 2, DUBLIN
41CENTRALCHAMBERSDAMECOURT | 215360 | 1994-03-30 | KIMDALE HOLDINGS LIMITED | Private limited by shares | Dissolved | 41 CENTRAL CHAMBERS, DAME COURT, DUBLIN 2, DUBLIN 2, DUBLIN
41CENTRALCHAMBERSDAMECOURT | 218330 | 1994-06-07 | THE ARDARA PARTNERSHIP | Private unlimited with share capital | Dissolved | 41 CENTRAL CHAMBERS, DAME COURT, DUBLIN 2, DUBLIN
41CENTRALCHAMBERSDAMECOURT | 221734 | 1994-09-02 | MARINE INVEST LIMITED | Private limited by shares | Dissolved | 41 CENTRAL CHAMBERS, DAME COURT, DUBLIN 2., DUBLIN
41CENTRALCHAMBERSDAMECOURT | 225804 | 1994-12-06 | TEMPLE CONSULTANCY LIMITED | Private limited by shares | Dissolved | 41 CENTRAL CHAMBERS, DAME COURT, DUBLIN 2, DUBLIN 2, DUBLIN
41CENTRALCHAMBERSDAMECOURT | 241883 | 1995-12-07 | B-PLAN INTERNATIONAL LIMITED | Private limited by shares | Dissolved | 41 CENTRAL CHAMBERS, DAME COURT, DUBLIN 2, DUBLIN
41CENTRALCHAMBERSDAMECOURT | 258716 | 1996-12-21 | HANSON IMPORTS/EXPORTS | Private unlimited with share capital | Dissolved | 41 CENTRAL CHAMBERS, DAME COURT, DUBLIN 2, DUBLIN
41CENTRALCHAMBERSDAMECOURT | 260392 | 1997-01-28 | SHAMROCK PARTNERS LIMITED | Private limited by shares | Dissolved | 41 CENTRAL CHAMBERS, DAME COURT, DUBLIN 2, DUBLIN
41CENTRALCHAMBERSDAMECOURT | 267152 | 1997-06-03 | STARGATE FINANCE LIMITED | Private limited by shares | Dissolved | 41 CENTRAL CHAMBERS, DAME COURT, DUBLIN 2, DUBLIN
41CENTRALCHAMBERSDAMECOURT | 268789 | 1997-07-07 | NEWCORP HOLDINGS LIMITED | Private limited by shares | Dissolved | 41 CENTRAL CHAMBERS, DAME COURT, DUBLIN 2, DUBLIN
41CENTRALCHAMBERSDAMECOURT | 270162 | 1997-08-05 | SUMMIT INDUSTRIES LIMITED | Private limited by shares | Dissolved | 41 CENTRAL CHAMBERS, DAME COURT, DUBLIN 2, DUBLIN 2, DUBLIN
41CENTRALCHAMBERSDAMECOURT | 296498 | 1998-11-18 | GOLDSTAR UNIVERSAL LIMITED | Private limited by shares | Dissolved | 41 CENTRAL CHAMBERS, DAME COURT, DUBLIN 2, DUBLIN
FOURTHFLOORDOLLARDHOUSE | 153803 | 1990-01-22 | TILSTONE DEVELOPMENTS LIMITED | Private limited by shares | Dissolved | FOURTH FLOOR, DOLLARD HOUSE, WELLINGTON QUAY DUBLIN 2, DUBLIN 2
FOURTHFLOORDOLLARDHOUSE | 158859 | 1990-05-14 | NAILFIELD LIMITED | Private limited by shares | Dissolved | FOURTH FLOOR, DOLLARD HOUSE, WELLINGTON QUAY DUBLIN 2., DUBLIN
FOURTHFLOORDOLLARDHOUSE | 168350 | 1991-01-07 | EPISOFT LIMITED | Private limited by shares | Dissolved | FOURTH FLOOR, DOLLARD HOUSE, WELLINGTON QUAY DUBLIN 2, DUBLIN
FOURTHFLOORDOLLARDHOUSE | 170884 | 1991-03-05 | MARSHVILLE INVESTMENTS LIMITED | Private limited by shares | Dissolved | FOURTH FLOOR, DOLLARD HOUSE, WELLINGTON QUAY DUBLIN 2, DUBLIN
FOURTHFLOORDOLLARDHOUSE | 173263 | 1991-04-29 | NATALIA DEVELOPMENTS LIMITED | Private limited by shares | Dissolved | FOURTH FLOOR, DOLLARD HOUSE, WELLINGTON QUAY DUBLIN 2, DUBLIN
FOURTHFLOORDOLLARDHOUSE | 186795 | 1992-04-03 | DREWCROWN INTERNATIONAL LIMITED | Private limited by shares | Dissolved | FOURTH FLOOR, DOLLARD HOUSE, WELLINGTON QUAY DUBLIN 2, DUBLIN
FOURTHFLOORDOLLARDHOUSE | 195942 | 1992-11-25 | M.I.S. MARKETING INTERNATIONAL SERVICES LIMITED | Private limited by shares | Dissolved | FOURTH FLOOR, DOLLARD HOUSE, WELLINGTON QUAY DUBLIN 2, DUBLIN
FOURTHFLOORDOLLARDHOUSE | 200156 | 1993-03-10 | ISLAY LIMITED | Private limited by shares | Dissolved | FOURTH FLOOR, DOLLARD HOUSE, WELLINGTON QUAY DUBLIN 2, DUBLIN
FOURTHFLOORDOLLARDHOUSE | 203331 | 1993-05-28 | WALTON SERVICES LIMITED | Private limited by shares | Dissolved | FOURTH FLOOR, DOLLARD HOUSE, WELLINGTON QUAY DUBLIN 2, DUBLIN 2
FOURTHFLOORDOLLARDHOUSE | 203785 | 1993-06-11 | EURASIAN COMMUNICATIONS & TRADING E.C. & T. LIMITED | Private limited by shares | Dissolved | FOURTH FLOOR, DOLLARD HOUSE, WELLINGTON QUAY DUBLIN 2, DUBLIN
FOURTHFLOORDOLLARDHOUSE | 235794 | 1995-07-14 | ACKMAN LIMITED | Private limited by shares | Dissolved | FOURTH FLOOR, DOLLARD HOUSE, WELLINGTON QUAY DUBLIN 2, DUBLIN
FOURTHFLOORDOLLARDHOUSE | 260728 | 1997-02-04 | BAKEL INTERNATIONAL COMPANY LIMITED | Single member private company limited by shares | Dissolved-20 years | FOURTH FLOOR, DOLLARD HOUSE, WELLINGTON QUAY DUBLIN 2, DUBLIN
FOURTHFLOORDOLLARDHOUSE | 262032 | 1997-02-25 | REDLAKE LIMITED | Private limited by shares | Dissolved | FOURTH FLOOR, DOLLARD HOUSE, WELLINGTON QUAY DUBLIN 2, DUBLIN
