-- K05 when were they dissolved? Dissolution year for 1989-98 formations, the 23 addresses vs everywhere else
CLS | DY | N
a_mass23 | 1992 | 4
a_mass23 | 1993 | 302
a_mass23 | 1994 | 993
a_mass23 | 1995 | 1526
a_mass23 | 1996 | 1629
a_mass23 | 1997 | 978
a_mass23 | 1998 | 1272
a_mass23 | 1999 | 9727
a_mass23 | 2000 | 13434
a_mass23 | 2001 | 1382
a_mass23 | 2002 | 436
a_mass23 | 2003 | 869
a_mass23 | 2004 | 177
a_mass23 | 2005 | 365
a_mass23 | 2006 | 92
a_mass23 | 2007 | 87
a_mass23 | 2008 | 138
a_mass23 | 2009 | 102
a_mass23 | 2010 | 46
a_mass23 | 2011 | 41
a_mass23 | 2012 | 20
a_mass23 | 2013 | 18
a_mass23 | 2014 | 12
a_mass23 | 2015 | 14
a_mass23 | 2016 | 21
a_mass23 | 2017 | 9
a_mass23 | 2018 | 7
a_mass23 | 2019 | 8
a_mass23 | 2020 | 4
a_mass23 | 2021 | 11
a_mass23 | 2022 | 3
a_mass23 | 2023 | 9
a_mass23 | 2024 | 5
a_mass23 | 2025 | 4
a_mass23 | 2026 | 4
a_mass23 |  | 80
c_rest | 1990 | 7
c_rest | 1991 | 2
c_rest | 1992 | 9
c_rest | 1993 | 2423
c_rest | 1994 | 1659
c_rest | 1995 | 3761
c_rest | 1996 | 7432
c_rest | 1997 | 1278
c_rest | 1998 | 5549
c_rest | 1999 | 16867
c_rest | 2000 | 23903
c_rest | 2001 | 3646
c_rest | 2002 | 2085
c_rest | 2003 | 6859
c_rest | 2004 | 2178
c_rest | 2005 | 3742
c_rest | 2006 | 2067
c_rest | 2007 | 1653
c_rest | 2008 | 2072
c_rest | 2009 | 1759
c_rest | 2010 | 1755
c_rest | 2011 | 1860
c_rest | 2012 | 1623
c_rest | 2013 | 1455
c_rest | 2014 | 1453
c_rest | 2015 | 1028
c_rest | 2016 | 1358
c_rest | 2017 | 1089
c_rest | 2018 | 1069
c_rest | 2019 | 910
c_rest | 2020 | 785
c_rest | 2021 | 599
c_rest | 2022 | 631
c_rest | 2023 | 577
c_rest | 2024 | 632
c_rest | 2025 | 522
c_rest | 2026 | 475
c_rest |  | 21352
(74 rows)
