database,schema,table,column,ordinal,data_type,is_nullable,key_label,tier,spine_wired,has_norm_rule,spine_entity_grain,total_rows,nonnull_after_norm,distinct_after_norm,sample_values,verify_error
LIBRARY_RAW,LANDING,PORTAL_SOC_UTAH_OPEN_DATA_P_B21F81E6F9,SHAPE_STLENGTH,10,TEXT,YES,GEOM,GEO,False,False,place,,,,,
LIBRARY_RAW,LANDING,PORTAL_ARC_HARRIS_COUNTY_OP_6133483DE0,USER_USER_ZIP_C,106,TEXT,YES,ZIP,GEO,False,True,place,67.0,0.0,0.0,[''],
LIBRARY_RAW,LANDING,PORTAL_ARC_OPEN_DATA_DC_01F2D9886C,LATITUDE,13,TEXT,YES,LATLON,GEO,False,False,place,,,,,
LIBRARY_RAW,LANDING,PORTAL_ARC_ORANGE_COUNTY_OP_3A2A7267D1,GIS_LATITUDE,12,TEXT,YES,LATLON,GEO,False,False,place,,,,,
LIBRARY_RAW,LANDING,PORTAL_ARC_TUCSON_OPEN_DATA_4FB5EA68FC,ADDRESS_OL,16,TEXT,YES,ADDRESS,PROBABILISTIC,False,True,,,,,,
LIBRARY_RAW,LANDING,PORTAL_SOC_OREGON_OPEN_DATA_E338C547C2,GASO_NAME,2,TEXT,YES,NAME,PROBABILISTIC,False,True,,,,,,
LIBRARY_RAW,LANDING,PORTAL_ARC_OPEN_DATA_MINNEA_F87FF14B56,GEOMETRY,68,TEXT,YES,GEOM,GEO,False,False,place,,,,,
LIBRARY_RAW,LANDING,PORTAL_ARC_TUCSON_OPEN_DATA_A40FB2876B,SHAPE__AREA,73,TEXT,YES,GEOM,GEO,False,False,place,,,,,
LIBRARY_RAW,LANDING,PORTAL_SOC_COLORADO_INFORMA_E80CA7800E,HUD_ZIPCODE,16,TEXT,YES,ZIP,GEO,False,True,place,2000.0,481.0,277.0,"['8640', '6811', '2122', '61554', '85086']",
LIBRARY_RAW,LANDING,PORTAL_ARC_HARRIS_COUNTY_OP_D044517CB3,ADDRESS,4,TEXT,YES,ADDRESS,PROBABILISTIC,False,True,,,,,,
LIBRARY_RAW,LANDING,FED_CMS_MEDICARE_PROVIDER,RNDRNG_PRVDR_ZIP5,12,TEXT,YES,ZIP,GEO,False,True,place,1296739.0,1296712.0,20947.0,"['43623', '20817', '44060', '75010', '34996']",
LIBRARY_RAW,LANDING,PORTAL_ARC_MEMPHIS_OPEN_DAT_9F6F4B2736,SHAPE__LENGTH,19,TEXT,YES,GEOM,GEO,False,False,place,,,,,
LIBRARY_RAW,LANDING,PORTAL_CKA_WPRDC_ALLEGHENY_39AA454DDA,STREET_NUMBER,7,TEXT,YES,ADDRESS,PROBABILISTIC,False,True,,,,,,
LIBRARY_RAW,LANDING,FED_USASPENDING_CONTRACTS_FULL,primary_place_of_performance_state_name,81,TEXT,YES,NAME,PROBABILISTIC,False,True,,,,,,
LIBRARY_RAW,LANDING,PORTAL_ARC_LA_COUNTY_OPEN_D_18EE361084,GEOMETRY,31,TEXT,YES,GEOM,GEO,False,False,place,,,,,
LIBRARY_RAW,LANDING,PORTAL_ARC_HARRIS_COUNTY_OP_795533139C,ADDR_TYPE,9,TEXT,YES,ADDRESS,PROBABILISTIC,False,True,,,,,,
LIBRARY_RAW,LANDING,PORTAL_ARC_ORANGE_COUNTY_OP_41E4E2185F,SIC_CODE,18,TEXT,YES,SIC,STRONG,False,True,,,,,,
LIBRARY_RAW,LANDING,PORTAL_CKA_CALIFORNIA_OPEN_0BC18BBA68,SHAPE__LENGTH,11,TEXT,YES,GEOM,GEO,False,False,place,,,,,
LIBRARY_RAW,LANDING,PORTAL_SOC_OREGON_OPEN_DATA_072D0C4A94,EMPLOYER_ZIP_CODE,31,TEXT,YES,ZIP,GEO,False,True,place,2000.0,1596.0,106.0,"['97844', '97867', 'Redacted', '97060', '97843']",
LIBRARY_RAW,LANDING,XC_UK_SANCTIONS_LIST,ADDRESS_COUNTRY,30,TEXT,YES,COUNTRY,GEO,False,True,place,57883.0,45698.0,106.0,"['Afghanistan', 'United Arab Emirates', 'Pakistan', 'Iran', '']",
LIBRARY_RAW,LANDING,FED_HRSA_SHORTAGE_AREAS,COMMON_POSTAL_CODE,26,TEXT,YES,ZIP,GEO,False,True,place,165531.0,22007.0,4969.0,"['96944', '96943', '', '96913', '96799']",
LIBRARY_RAW,LANDING,PORTAL_ARC_OPEN_DATA_DC_F37F5DDC3D,STREET_NAME,18,TEXT,YES,NAME,PROBABILISTIC,False,True,,,,,,
LIBRARY_RAW,RETIRED,FED_CMS_OPEN_PAYMENTS_GNRL,Name_of_Drug_or_Biological_or_Device_or_Medical_Supply_4,81,TEXT,YES,NAME,PROBABILISTIC,False,True,,,,,,
LIBRARY_RAW,LANDING,PORTAL_ARC_OPEN_DATA_DC_D359158BC8,PRIMARY_ZIP_CODE,5,TEXT,YES,ZIP,GEO,False,True,place,733.0,733.0,30.0,"['20016', '20005', '20010', '20037', '20011']",
LIBRARY_RAW,LANDING,PORTAL_ARC_OPEN_DATA_RALEIG_8EE851C810,COUNTY_NAME,13,TEXT,YES,NAME,PROBABILISTIC,False,True,,,,,,
LIBRARY_RAW,LANDING,PORTAL_SOC_UTAH_OPEN_DATA_P_B0F7881369,PARENT_COMPANY_NAME,84,TEXT,YES,NAME,PROBABILISTIC,False,True,,,,,,
LIBRARY_RAW,LANDING,PORTAL_ARC_TUCSON_OPEN_DATA_B64E31A541,ZIP,40,TEXT,YES,ZIP,GEO,False,True,place,798.0,798.0,94.0,"['85701', '85716', '85702', '27617', '85714']",
LIBRARY_RAW,LANDING,PORTAL_SOC_UTAH_OPEN_DATA_P_A45115B872,PARENT_COMPANY_DB_NUMBER,83,TEXT,YES,NAME,PROBABILISTIC,False,True,,,,,,
LIBRARY_RAW,LANDING,FED_EPA_ECHO,FAC_NAME,2,TEXT,YES,NAME,PROBABILISTIC,False,True,,,,,,
LIBRARY_RAW,LANDING,PORTAL_CKA_ANALYZE_BOSTON_BE87D5EA10,SHAPE_WKT,12,TEXT,YES,GEOM,GEO,False,False,place,,,,,
LIBRARY_RAW,LANDING,PORTAL_ARC_TUCSON_OPEN_DATA_3D7C82E432,SITE_ADDRESS,52,TEXT,YES,ADDRESS,PROBABILISTIC,False,True,,,,,,
LIBRARY_RAW,LANDING,PORTAL_ARC_ATLANTA_DATAATLA_C1DA9CD6A0,SIC,11,TEXT,YES,SIC,STRONG,False,True,,,,,,
LIBRARY_RAW,LANDING,PORTAL_ARC_LA_COUNTY_OPEN_D_1EDD056661,CCN,8,TEXT,YES,CCN,STEEL,False,True,facility,2000.0,614.0,559.0,"['552614', '05C0002112', '551534', '050376', '551518']",
LIBRARY_RAW,LANDING,PORTAL_ARC_TUCSON_OPEN_DATA_86A898EF77,SHAPE__LENGTH,74,TEXT,YES,GEOM,GEO,False,False,place,,,,,
LIBRARY_RAW,LANDING,PORTAL_CKA_WPRDC_ALLEGHENY_DA448E7083,FACILITY_POSTAL_CODE,10,TEXT,YES,ZIP,GEO,False,True,place,1000.0,998.0,74.0,"['15108', '15017', '15051', '15136', '15120']",
LIBRARY_RAW,LANDING,PORTAL_CKA_WPRDC_ALLEGHENY_FA5C68D20D,SHAPE_LENG,7,TEXT,YES,GEOM,GEO,False,False,place,,,,,
LIBRARY_RAW,LANDING,PORTAL_ARC_TUCSON_OPEN_DATA_664D252729,LON,8,TEXT,YES,LATLON,GEO,False,False,place,,,,,
LIBRARY_RAW,LANDING,PORTAL_CKA_OPEN_DATA_SA_AFE18E40AF,NAME,2,TEXT,YES,NAME,PROBABILISTIC,False,True,,,,,,
LIBRARY_RAW,LANDING,FED_CMS_HOSPITAL_COMPARE,ADDRESS,3,TEXT,YES,ADDRESS,PROBABILISTIC,False,True,,,,,,
LIBRARY_RAW,LANDING,PORTAL_CKA_WESTERN_PENNSYLV_93F5DF3D76,LONGITUDE,10,TEXT,YES,LATLON,GEO,False,False,place,,,,,
LIBRARY_RAW,LANDING,FED_USASPENDING_BULK,RECIPIENT_COUNTRY_CODE,59,TEXT,YES,COUNTRY,GEO,False,True,place,50000.0,50000.0,88.0,"['FRA', 'USA', 'NLD', 'TZA', 'BEL']",
LIBRARY_RAW,LANDING,PORTAL_CKA_CALIFORNIA_OPEN_2D939C89A5,PUBLISHER_ORGANIZATION,6,TEXT,YES,NAME,PROBABILISTIC,False,True,,,,,,
LIBRARY_RAW,LANDING,PORTAL_ARC_TUCSON_OPEN_DATA_7044E0923D,SITE_ADDRESS,52,TEXT,YES,ADDRESS,PROBABILISTIC,False,True,,,,,,
LIBRARY_RAW,LANDING,FED_CMS_OPEN_PAYMENTS_2023,APPLICABLE_MANUFACTURER_OR_APPLICABLE_GPO_MAKING_PAYMENT_COUNTRY,41,TEXT,YES,COUNTRY,GEO,False,True,place,14700786.0,14700786.0,34.0,"['Japan', 'Switzerland', 'Korea (Republic of)', 'United States', 'Canada']",
LIBRARY_RAW,LANDING,PORTAL_ARC_LA_COUNTY_OPEN_D_73B029DCD6,STREET,3,TEXT,YES,ADDRESS,PROBABILISTIC,False,True,,,,,,
LIBRARY_RAW,LANDING,FED_USASPENDING_CONTRACTS_FULL,primary_place_of_performance_country_name,75,TEXT,YES,COUNTRY,GEO,False,True,place,20000000.0,19083244.0,262.0,"['JAPAN', 'UNITED KINGDOM', 'UNITED STATES', 'UNITED STATES OF AMERICA', 'GERMANY']",
LIBRARY_RAW,LANDING,PORTAL_ARC_HARRIS_COUNTY_OP_D248A81CD8,ADDRESS,4,TEXT,YES,ADDRESS,PROBABILISTIC,False,True,,,,,,
LIBRARY_RAW,LANDING,PORTAL_ARC_TUCSON_OPEN_DATA_A94D7DFBCF,SHAPE__LENGTH,74,TEXT,YES,GEOM,GEO,False,False,place,,,,,
LIBRARY_RAW,LANDING,PORTAL_ARC_TUCSON_OPEN_DATA_63C0193FF1,LON,7,TEXT,YES,LATLON,GEO,False,False,place,,,,,
LIBRARY_RAW,LANDING,PORTAL_ARC_TUCSON_OPEN_DATA_90CC86DC8C,DOCKET,36,TEXT,YES,DOCKET,STRONG,False,True,case,2000.0,2000.0,748.0,"['8015', '12167', '12857', '13461', '12201']",
LIBRARY_RAW,LANDING,PORTAL_CKA_SAN_JOSE_OPEN_DA_B5EB095BC3,NAME,8,TEXT,YES,NAME,PROBABILISTIC,False,True,,,,,,
LIBRARY_RAW,LANDING,FED_MSHA_MINES,LATITUDE,45,TEXT,YES,LATLON,GEO,False,False,place,,,,,
LIBRARY_RAW,LANDING,PORTAL_CKA_ANALYZE_BOSTON_F1B3F76830,LATITUDE,22,TEXT,YES,LATLON,GEO,False,False,place,,,,,
LIBRARY_RAW,LANDING,PORTAL_CKA_ISRAEL_NATIONAL_07EC1AF377,DECEASED_NAME,4,TEXT,YES,NAME,PROBABILISTIC,False,True,,,,,,
LIBRARY_RAW,LANDING,FED_COURTLISTENER_JUDGES,DOB_COUNTRY,17,TEXT,YES,COUNTRY,GEO,False,True,place,16191.0,16185.0,63.0,"['Laos', 'Taiwan', 'Japan', 'Germany', 'Argentina']",
LIBRARY_RAW,LANDING,PORTAL_ARC_TUCSON_OPEN_DATA_0F83B7C628,COUNTRY,50,TEXT,YES,COUNTRY,GEO,False,True,place,142.0,0.0,0.0,[''],
LIBRARY_RAW,LANDING,PORTAL_SOC_UTAH_OPEN_DATA_P_D769AFDABA,SIC_5,90,TEXT,YES,SIC,STRONG,False,True,,,,,,
