select FILING_YEAR, FILING_PERIOD, FILING_TYPE, upper(REGISTRANT_NAME) reg, REGISTRANT_ID, upper(CLIENT_NAME) cli, CLIENT_ID, INCOME, EXPENSES, DT_POSTED, FILING_UUID, TERMINATION_DATE,
 count(*) over (partition by FILING_UUID) uuid_dups
from LIBRARY_MARTS.EDUCATION.EDUCATION__FED_SENATE_LDA_FILINGS
where upper(CLIENT_NAME) like '%LAS VEGAS SANDS%' and FILING_YEAR >= '2021'
order by FILING_YEAR, reg, FILING_PERIOD, DT_POSTED

[04] 107 rows
FILING_YEAR | FILING_PERIOD | FILING_TYPE | REG | REGISTRANT_ID | CLI | CLIENT_ID | INCOME | EXPENSES | DT_POSTED | FILING_UUID | TERMINATION_DATE | UUID_DUPS
2021 | third_quarter | 3T | HB STRATEGIES (FKA HUSCH BLACKWELL STRATEGIES) | 401104718 | LAS VEGAS SANDS CORPORATION | 202483 |  |  | 2021-10-18T12:58:14.033000-04:00 | f1b743e2-0f68-4983-8e4e-f2518114f459 | 2021-07-01 | 1
2021 | first_quarter | Q1 | LINCOLN POLICY GROUP | 401103077 | LAS VEGAS SANDS | 197815 | 30000.00 |  | 2021-04-20T15:00:29.520000-04:00 | 48cc39cd-b757-4b58-932a-7f523ad6eb6b |  | 1
2021 | fourth_quarter | Q4 | LINCOLN POLICY GROUP | 401103077 | LAS VEGAS SANDS | 197815 | 30000.00 |  | 2022-01-20T11:01:58.733000-05:00 | c8ea810f-46ed-488f-b8d8-b134fe1f69dd |  | 1
2021 | second_quarter | Q2 | LINCOLN POLICY GROUP | 401103077 | LAS VEGAS SANDS | 197815 | 30000.00 |  | 2021-07-20T13:54:38.723000-04:00 | c3b2936a-7c61-4e12-aec3-9049efc049bf |  | 1
2021 | second_quarter | 2A | LINCOLN POLICY GROUP | 401103077 | LAS VEGAS SANDS | 197815 | 30000.00 |  | 2021-10-12T11:24:54.673000-04:00 | 1ed04274-38b6-4518-b319-b0d83530b33c |  | 1
2021 | third_quarter | Q3 | LINCOLN POLICY GROUP | 401103077 | LAS VEGAS SANDS | 197815 | 30000.00 |  | 2021-10-20T14:25:32.307000-04:00 | 72026656-a1c9-4413-b720-5718f6a31085 |  | 1
2021 | first_quarter | Q1 | STEPTOE LLP | 36710 | LAS VEGAS SANDS CORPORATION | 145709 | 80000.00 |  | 2021-04-20T17:01:52.947000-04:00 | 5fae16ae-5e17-46bd-bf91-86d1b3eae1cf |  | 1
2021 | fourth_quarter | Q4 | STEPTOE LLP | 36710 | LAS VEGAS SANDS CORPORATION | 145709 | 80000.00 |  | 2022-01-20T16:27:58.270000-05:00 | dfdc94be-a83d-4873-86e6-c7f8c075d5b2 |  | 1
2021 | second_quarter | Q2 | STEPTOE LLP | 36710 | LAS VEGAS SANDS CORPORATION | 145709 | 80000.00 |  | 2021-07-20T18:03:05.667000-04:00 | cbf98ae5-a447-47bb-99af-61f45f615842 |  | 1
2021 | third_quarter | Q3 | STEPTOE LLP | 36710 | LAS VEGAS SANDS CORPORATION | 145709 | 80000.00 |  | 2021-10-20T17:48:51.153000-04:00 | 99760870-0935-4146-bb07-41e46ca56419 |  | 1
2021 | first_quarter | Q1 | THE KEELEN GROUP, LLC | 323114 | LAS VEGAS SANDS CORPORATION | 187122 | 30000.00 |  | 2021-04-19T14:26:43.817000-04:00 | 4b7229c5-6ee7-4f02-9281-99e78072ec69 |  | 1
2021 | second_quarter | 2T | THE KEELEN GROUP, LLC | 323114 | LAS VEGAS SANDS CORPORATION | 187122 | 30000.00 |  | 2021-07-19T18:15:51.223000-04:00 | babb812a-2c31-4de3-bd73-476476d3a824 | 2021-06-30 | 1
2021 | fourth_quarter | Q4 | THE VOGEL GROUP | 401104734 | LAS VEGAS SANDS CORPORATION | 211366 | 37500.00 |  | 2022-01-20T20:16:44.550000-05:00 | cdf01959-1be7-4aa6-b61a-d7e68bae3196 |  | 1
2021 | third_quarter | RR | THE VOGEL GROUP | 401104734 | LAS VEGAS SANDS CORPORATION | 211366 |  |  | 2021-07-27T18:10:04-04:00 | 61869ef6-77f9-4cc0-8685-8cc82f7531de |  | 1
2021 | third_quarter | Q3 | THE VOGEL GROUP | 401104734 | LAS VEGAS SANDS CORPORATION | 211366 | 12500.00 |  | 2021-10-20T23:17:35.053000-04:00 | b2bac536-281e-49e2-b89d-375a0c3acd43 |  | 1
2022 | first_quarter | Q1 | AVOQ, LLC | 313271 | LAS VEGAS SANDS CORP. | 184198 | 50000.00 |  | 2022-04-20T19:50:46-04:00 | 60611f4b-826b-42bf-afe8-0cc024c0fc5b |  | 1
2022 | fourth_quarter | Q4 | AVOQ, LLC | 313271 | LAS VEGAS SANDS CORP. | 184198 | 50000.00 |  | 2023-02-19T09:36:42-05:00 | 521009bb-f0df-4793-9d1b-ec91da393905 |  | 1
2022 | second_quarter | Q2 | AVOQ, LLC | 313271 | LAS VEGAS SANDS CORP. | 184198 | 50000.00 |  | 2022-07-20T20:11:51-04:00 | a641fb9e-7a13-4f8b-b3eb-9ca45bb887fc |  | 1
2022 | third_quarter | Q3 | AVOQ, LLC | 313271 | LAS VEGAS SANDS CORP. | 184198 | 50000.00 |  | 2022-10-20T21:37:45-04:00 | 452d2d6c-ea53-4b0d-b815-9428fd5773b9 |  | 1
2022 | first_quarter | Q1 | CAPITOL COUNSEL LLC | 313715 | LAS VEGAS SANDS CORPORATION | 184522 | 60000.00 |  | 2022-04-19T10:30:51-04:00 | 3a197c69-eb4d-4b69-9ee1-b5ace738cdd2 |  | 1
2022 | fourth_quarter | Q4 | CAPITOL COUNSEL LLC | 313715 | LAS VEGAS SANDS CORPORATION | 184522 | 60000.00 |  | 2023-01-15T21:43:11-05:00 | 6b38ea96-8cab-44fb-9d50-fafb767af2f5 |  | 1
2022 | second_quarter | Q2 | CAPITOL COUNSEL LLC | 313715 | LAS VEGAS SANDS CORPORATION | 184522 | 60000.00 |  | 2022-07-18T16:36:19-04:00 | 01294b5d-c524-40a7-9640-16862742282e |  | 1
2022 | third_quarter | Q3 | CAPITOL COUNSEL LLC | 313715 | LAS VEGAS SANDS CORPORATION | 184522 | 60000.00 |  | 2022-10-17T14:50:57-04:00 | 20c1aade-6165-4f66-b16b-452bb303617b |  | 1
2022 | first_quarter | Q1 | LINCOLN POLICY GROUP | 401103077 | LAS VEGAS SANDS | 197815 | 30000.00 |  | 2022-04-20T13:47:53-04:00 | 00feb9d2-2a35-45bb-a2e4-2bf816b9c333 |  | 1
2022 | fourth_quarter | Q4 | LINCOLN POLICY GROUP | 401103077 | LAS VEGAS SANDS | 197815 | 30000.00 |  | 2023-01-20T10:23:50-05:00 | 8635560a-7505-4a7c-b3c8-00fabe8f0f62 |  | 1
2022 | second_quarter | Q2 | LINCOLN POLICY GROUP | 401103077 | LAS VEGAS SANDS | 197815 | 30000.00 |  | 2022-07-20T13:28:29-04:00 | 71a9bd28-95ad-4f7a-9808-e28248d4784f |  | 1
2022 | third_quarter | Q3 | LINCOLN POLICY GROUP | 401103077 | LAS VEGAS SANDS | 197815 | 30000.00 |  | 2022-10-20T15:12:55-04:00 | ba231967-8bb7-4350-ae81-db091d6f13ec |  | 1
2022 | first_quarter | Q1 | STEPTOE LLP | 36710 | LAS VEGAS SANDS CORPORATION | 145709 | 80000.00 |  | 2022-04-20T18:11:20-04:00 | b5b86813-1bb6-4ad9-9e16-52dc4b550f2a |  | 1
2022 | fourth_quarter | Q4 | STEPTOE LLP | 36710 | LAS VEGAS SANDS CORPORATION | 145709 | 80000.00 |  | 2023-01-20T17:43:07-05:00 | 1da7b96e-f88f-4e1d-af00-accddd5a1458 |  | 1
2022 | second_quarter | Q2 | STEPTOE LLP | 36710 | LAS VEGAS SANDS CORPORATION | 145709 | 80000.00 |  | 2022-07-20T22:26:48-04:00 | 345570d6-3ebe-4e88-b0b4-aaeaec1d9356 |  | 1
2022 | second_quarter | Q2 | STEPTOE LLP | 36710 | LAS VEGAS SANDS CORPORATION | 145709 | 80000.00 |  | 2022-07-20T22:26:59-04:00 | 5624bc1e-7e69-4cc5-8261-001dc7625091 |  | 1
2022 | third_quarter | Q3 | STEPTOE LLP | 36710 | LAS VEGAS SANDS CORPORATION | 145709 | 80000.00 |  | 2022-10-20T19:39:39-04:00 | 8188a14a-c33a-4075-8522-8e075f93b9a1 |  | 1
2022 | first_quarter | Q1 | THE VOGEL GROUP | 401104734 | LAS VEGAS SANDS CORPORATION | 211366 | 87500.00 |  | 2022-04-20T20:29:24-04:00 | c334e925-71b2-4a67-84d9-c49ab2bb0f41 |  | 1
2022 | fourth_quarter | Q4 | THE VOGEL GROUP | 401104734 | LAS VEGAS SANDS CORPORATION | 211366 | 87500.00 |  | 2023-01-20T19:58:41-05:00 | bfcd7658-5e3e-4f13-b534-44ef947f0431 |  | 1
2022 | second_quarter | Q2 | THE VOGEL GROUP | 401104734 | LAS VEGAS SANDS CORPORATION | 211366 | 87500.00 |  | 2022-07-20T20:48:10-04:00 | 04245b73-ba43-4766-8631-1c22972c86df |  | 1
2022 | third_quarter | Q3 | THE VOGEL GROUP | 401104734 | LAS VEGAS SANDS CORPORATION | 211366 | 87500.00 |  | 2022-10-20T19:40:03-04:00 | aad95ddb-1172-48a2-afe2-fb5c7d864990 |  | 1
2023 | first_quarter | Q1 | AVOQ, LLC | 313271 | LAS VEGAS SANDS CORP. | 184198 | 50000.00 |  | 2023-04-20T09:16:03-04:00 | 5f5ed32a-88d3-44b7-b33e-65174fe61e37 |  | 1
2023 | fourth_quarter | Q4 | AVOQ, LLC | 313271 | LAS VEGAS SANDS CORP. | 184198 | 50000.00 |  | 2024-01-22T18:41:25-05:00 | fa9f9115-c512-4f4d-8b24-343642753d85 |  | 1
2023 | second_quarter | Q2 | AVOQ, LLC | 313271 | LAS VEGAS SANDS CORP. | 184198 | 50000.00 |  | 2023-07-20T17:45:28-04:00 | c1b58df4-9685-44ae-bb23-ec7dfefc6b83 |  | 1
2023 | third_quarter | Q3 | AVOQ, LLC | 313271 | LAS VEGAS SANDS CORP. | 184198 | 50000.00 |  | 2023-10-20T13:12:02-04:00 | f10fceed-309b-4e44-a67c-f67d6345eac4 |  | 1
2023 | first_quarter | Q1 | CAPITOL COUNSEL LLC | 313715 | LAS VEGAS SANDS CORPORATION | 184522 | 60000.00 |  | 2023-04-17T17:00:00-04:00 | 10dcee6d-1d8d-4496-95e5-02ef01601f7b |  | 1
2023 | fourth_quarter | Q4 | CAPITOL COUNSEL LLC | 313715 | LAS VEGAS SANDS CORPORATION | 184522 | 60000.00 |  | 2024-01-20T18:07:38-05:00 | f2805b07-06f6-4d38-be34-96a0d5bf182f |  | 1
2023 | second_quarter | Q2 | CAPITOL COUNSEL LLC | 313715 | LAS VEGAS SANDS CORPORATION | 184522 | 50000.00 |  | 2023-07-15T16:50:01-04:00 | e3afec86-47f2-4a60-b30f-3518b716cf27 |  | 1
2023 | third_quarter | Q3 | CAPITOL COUNSEL LLC | 313715 | LAS VEGAS SANDS CORPORATION | 184522 | 60000.00 |  | 2023-10-17T16:46:53-04:00 | 6ae6a009-ec33-4014-aebe-87c4c91033ef |  | 1
2023 | first_quarter | Q1 | LINCOLN POLICY GROUP | 401103077 | LAS VEGAS SANDS | 197815 | 30000.00 |  | 2023-04-20T15:10:05-04:00 | dd94b85e-fc01-458c-9f03-62d8ff07087b |  | 1
2023 | fourth_quarter | Q4 | LINCOLN POLICY GROUP | 401103077 | LAS VEGAS SANDS | 197815 | 30000.00 |  | 2024-01-22T09:51:29-05:00 | d9000b94-1e39-4dc9-9b87-9a28acd94c25 |  | 1
2023 | second_quarter | Q2 | LINCOLN POLICY GROUP | 401103077 | LAS VEGAS SANDS | 197815 | 30000.00 |  | 2023-07-20T13:54:52-04:00 | df3831da-fd86-4101-9eb2-7d0c2b8a0374 |  | 1
2023 | third_quarter | Q3 | LINCOLN POLICY GROUP | 401103077 | LAS VEGAS SANDS | 197815 | 30000.00 |  | 2023-10-20T12:55:22-04:00 | b0a5f55a-6d0f-4df8-8803-f8f8d8e69519 |  | 1
2023 | first_quarter | Q1 | STEPTOE LLP | 36710 | LAS VEGAS SANDS CORPORATION | 145709 | 80000.00 |  | 2023-04-20T10:24:54-04:00 | ad74083f-c23a-4573-8f42-792498d65696 |  | 1
2023 | fourth_quarter | Q4 | STEPTOE LLP | 36710 | LAS VEGAS SANDS CORPORATION | 145709 | 80000.00 |  | 2024-01-22T17:29:36-05:00 | d635398b-d20d-472e-9ca7-014f3c20f0d9 |  | 1
2023 | second_quarter | Q2 | STEPTOE LLP | 36710 | LAS VEGAS SANDS CORPORATION | 145709 | 80000.00 |  | 2023-07-18T17:44:16-04:00 | a236d8c1-3227-4ba0-847a-aec2b591b045 |  | 1
