Q	N	UNKNOWN_ANY	UNKNOWN_UPPER	UNKNOWN_MIXED	DIST_RAW	DIST_UPPER	HAS_DRUG_SEQ	HAS_INDI_DRUG_SEQ
2011q3	375824	72296	72296	0	4047	4047	375824	0
2011q4	362256	48867	48867	0	4087	4087	362256	0
2012q1	453398	86624	86624	0	4277	4277	453398	0
2012q2	394317	52950	52950	0	4325	4325	394317	0
2012q3	261870	44389	44389	0	3642	3642	261870	0
2012q4	444517	62390	2838	59552	9346	7430	0	444517
2013q1	453964	108002	0	108002	4180	4180	0	453964
2013q2	330405	54731	0	54731	4218	4218	0	330405
2013q3	369227	73384	0	73384	4285	4285	0	369227
2013q4	432190	87501	0	87501	4419	4419	0	432190
2014q2	420506	80305	0	80305	4548	4548	0	420506
