ST	Q	MONTHS	MED	LO	HI
AL	2023q3	3	240.0	240.0	240.0
AL	2023q4	3	333.0	333.0	333.0
AL	2024q1	3	407.0	407.0	407.0
AL	2024q2	3	430.0	430.0	430.0
AL	2024q3	3	453.0	453.0	453.0
AL	2024q4	3	530.0	530.0	530.0
AL	2025q1	3	577.0	493.0	747.0
AL	2025q2	3	627.0	533.0	870.0
AL	2025q3	3	660.0	560.0	910.0
AL	2025q4	3	650.0	543.0	873.0
AL	2026q1	3	687.0	533.0	867.0
CO	2023q1	3	2237.0	2157.0	2380.0
CO	2023q2	3	2203.0	2133.0	2343.0
CO	2023q3	3	2193.0	2100.0	2360.0
CO	2023q4	3	2177.0	2073.0	2347.0
CO	2024q1	3	2287.0	2157.0	2500.0
CO	2024q2	3	2127.0	1960.0	2363.0
CO	2024q3	3	1957.0	1820.0	2147.0
CO	2024q4	3	1887.0	1760.0	2073.0
CO	2025q1	3	1970.0	1867.0	2130.0
CO	2025q2	3	1853.0	1753.0	2003.0
CO	2025q3	3	1890.0	1793.0	2047.0
CO	2025q4	3	1873.0	1753.0	2063.0
CO	2026q1	3	1947.0	1753.0	2197.0
FL	2023q1	3	7397.0	6987.0	7927.0
FL	2023q2	3	7223.0	6803.0	7770.0
FL	2023q3	3	7413.0	6960.0	7967.0
FL	2023q4	3	7123.0	6753.0	7593.0
FL	2024q1	3	8177.0	7753.0	8733.0
FL	2024q2	3	6870.0	6530.0	7297.0
FL	2024q3	3	5040.0	4830.0	5293.0
FL	2024q4	3	5177.0	4967.0	5433.0
FL	2025q1	3	5750.0	5453.0	6087.0
FL	2025q2	3	5587.0	5200.0	6013.0
FL	2025q3	3	5503.0	5113.0	5923.0
FL	2025q4	3	5297.0	4860.0	5763.0
FL	2026q1	3	5520.0	4953.0	6157.0
KS	2023q1	3	1417.0	1417.0	1417.0
KS	2023q2	3	1533.0	1533.0	1533.0
KS	2023q3	3	1667.0	1600.0	1753.0
KS	2023q4	3	1780.0	1760.0	1813.0
KS	2024q1	3	2090.0	2040.0	2167.0
KS	2024q2	3	1843.0	1790.0	1930.0
KS	2024q3	3	1807.0	1783.0	1837.0
KS	2024q4	3	1770.0	1767.0	1773.0
KS	2025q1	3	1967.0	1897.0	2050.0
KS	2025q2	3	1697.0	1653.0	1750.0
KS	2025q3	3	1693.0	1647.0	1750.0
KS	2025q4	3	1510.0	1450.0	1587.0
KS	2026q1	3	1663.0	1583.0	1763.0
LA	2023q3	3	337.0	337.0	337.0
LA	2023q4	3	490.0	490.0	490.0
LA	2024q1	3	567.0	567.0	567.0
LA	2024q2	3	613.0	613.0	613.0
LA	2024q3	3	563.0	563.0	563.0
LA	2024q4	3	733.0	733.0	733.0
LA	2025q1	3	833.0	700.0	987.0
LA	2025q2	3	830.0	643.0	1073.0
LA	2025q3	3	877.0	670.0	1173.0
LA	2025q4	3	827.0	627.0	1147.0
LA	2026q1	3	867.0	640.0	1230.0
MS	2023q3	3	210.0	210.0	210.0
MS	2023q4	3	313.0	313.0	313.0
MS	2024q1	3	397.0	397.0	397.0
MS	2024q2	3	390.0	390.0	390.0
MS	2024q3	3	363.0	363.0	363.0
MS	2024q4	3	470.0	470.0	470.0
MS	2025q1	3	483.0	437.0	550.0
MS	2025q2	3	500.0	433.0	580.0
MS	2025q3	3	517.0	387.0	610.0
MS	2025q4	3	517.0	397.0	623.0
MS	2026q1	3	557.0	370.0	683.0
NM	2023q1	3	1910.0	1900.0	1920.0
NM	2023q2	3	1827.0	1797.0	1857.0
NM	2023q3	3	1700.0	1640.0	1777.0
NM	2023q4	3	1530.0	1473.0	1593.0
NM	2024q1	3	1727.0	1727.0	1727.0
NM	2024q2	3	1577.0	1543.0	1623.0
NM	2024q3	3	1430.0	1393.0	1473.0
NM	2024q4	3	1300.0	1210.0	1413.0
NM	2025q1	3	1387.0	1340.0	1450.0
NM	2025q2	3	1317.0	1263.0	1380.0
NM	2025q3	3	1387.0	1333.0	1450.0
NM	2025q4	3	1287.0	1253.0	1330.0
NM	2026q1	3	1440.0	1387.0	1497.0
States with total bans	2023q1	3	0.0	0.0	0.0
States with total bans	2023q2	3	0.0	0.0	0.0
States with total bans	2023q3	3	3503.0	3503.0	3503.0
States with total bans	2023q4	3	4940.0	4940.0	4940.0
States with total bans	2024q1	3	5807.0	5807.0	5807.0
States with total bans	2024q2	3	5847.0	5847.0	5847.0
States with total bans	2024q3	3	5923.0	5923.0	5923.0
States with total bans	2024q4	3	7247.0	7247.0	7247.0
States with total bans	2025q1	3	7513.0	7153.0	7873.0
States with total bans	2025q2	3	7510.0	7073.0	7920.0
States with total bans	2025q3	3	7887.0	7437.0	8380.0
States with total bans	2025q4	3	7717.0	7273.0	8313.0
States with total bans	2026q1	3	7907.0	7253.0	8710.0
TX	2023q3	3	1740.0	1740.0	1740.0
TX	2023q4	3	2400.0	2400.0	2400.0
TX	2024q1	3	2797.0	2797.0	2797.0
TX	2024q2	3	2710.0	2710.0	2710.0
TX	2024q3	3	2757.0	2757.0	2757.0
TX	2024q4	3	3240.0	3240.0	3240.0
TX	2025q1	3	3427.0	3113.0	3760.0
TX	2025q2	3	3397.0	3093.0	3747.0
TX	2025q3	3	3540.0	3213.0	3913.0
TX	2025q4	3	3493.0	3127.0	3910.0
TX	2026q1	3	3530.0	3017.0	4147.0
