PT	Q	N	BASE	RATIO	TN
__land		20622348	20622321.0	5806277.0	8
MYOCARDIAL INFARCTION	2014q2	16351	2035.5	8.0	617506
NAUSEA	2010q3	13546	3875.5	3.5	496212
CEREBROVASCULAR ACCIDENT	2014q2	8470	1912.5	4.4	617506
TARDIVE DYSKINESIA	2011q3	6289	1534.0	4.1	485481
INSOMNIA	2010q3	5456	1444.5	3.8	496212
FLUSHING	2010q3	5130	1389.0	3.7	496212
DEVICE EXPULSION	2011q3	4228	493.3	8.6	485481
INCORRECT DOSE ADMINISTERED	2009q3	4282	596.0	7.2	313517
EXTRAPYRAMIDAL DISORDER	2011q3	5040	1365.8	3.7	485481
TARDIVE DYSKINESIA	2011q2	4058	576.8	7.0	462608
EXTRAPYRAMIDAL DISORDER	2011q2	3901	448.3	8.7	462608
TYPE 2 DIABETES MELLITUS	2014q1	3663	211.0	17.4	718749
INJECTION SITE PAIN	2010q4	4438	1285.8	3.5	418442
ABNORMAL DREAMS	2010q3	3273	164.5	19.9	496212
INJECTION SITE ERYTHEMA	2010q4	3580	677.8	5.3	418442
INJECTION SITE PAIN	2007q4	3400	532.3	6.4	271800
INJECTION SITE ERYTHEMA	2011q4	4181	1343.0	3.1	492567
NERVOUS SYSTEM DISORDER	2011q3	3527	721.3	4.9	485481
BREAST CANCER FEMALE	2010q2	3160	388.3	8.1	347838
FLUSHING	2009q3	3627	944.8	3.8	313517
WEIGHT INCREASED	2010q3	3739	1177.3	3.2	496212
DYSTONIA	2011q2	2722	186.5	14.6	462608
FEELING ABNORMAL	2010q3	3562	1124.5	3.2	496212
INJURY	2011q2	3228	880.8	3.7	462608
DRUG DOSE OMISSION	2011q2	3274	965.3	3.4	462608
COMPLETED SUICIDE	2014q1	3315	1028.0	3.2	718749
DRUG ABUSE	2013q1	2622	368.0	7.1	614814
COMPLETED SUICIDE	2013q1	3013	824.0	3.7	614814
LOCAL SWELLING	2013q1	2288	140.0	16.3	614814
CARDIOVASCULAR DISORDER	2005q4	2310	195.3	11.8	271627
MATERNAL EXPOSURE DURING PREGNANCY	2011q3	2036	0.3	8144.0	485481
GASTROINTESTINAL HAEMORRHAGE	2014q1	2907	912.0	3.2	718749
PERIPHERAL SWELLING	2014q2	1971	0.0		617506
INADEQUATE ANALGESIA	2013q4	2085	141.3	14.8	641552
CONSTIPATION	2010q3	2644	838.3	3.2	496212
DIABETES MELLITUS	2009q3	2276	491.3	4.6	313517
INJECTION SITE BRUISING	2012q4	1776	0.0		632368
INJECTION SITE SWELLING	2011q4	2417	698.5	3.5	492567
APPLICATION SITE ERYTHEMA	2013q4	1948	230.3	8.5	641552
PRODUCT QUALITY ISSUE	2008q4	1703	1.5	1135.3	289988
