T	PT	SPQ	DRUG	N	LW	CN	PRIOR4_N	PRIOR4_LW
pair	ABNORMAL DREAMS	2010q3		3344	37	2446	696	8
drug	ABNORMAL DREAMS	2010q3	CHANTIX	2983	36	2265	1	
drug	ABNORMAL DREAMS	2010q3	PRISTIQ	59	1	25	2	
drug	ABNORMAL DREAMS	2010q3	LYRICA	51	0	22	3	
pair	BREAST CANCER FEMALE	2010q2		3281	1423	60	1708	1278
drug	BREAST CANCER FEMALE	2010q2	PROVERA	2958	1269	43	1	
drug	BREAST CANCER FEMALE	2010q2	MEDROXYPROGESTERONE ACETATE	208	116	0	2	
drug	BREAST CANCER FEMALE	2010q2	PREMARIN	19	18	0	3	
pair	CARDIOVASCULAR DISORDER	2005q4		2339	2100	25	793	315
drug	CARDIOVASCULAR DISORDER	2005q4	VIOXX	2194	2094	9	1	
drug	CARDIOVASCULAR DISORDER	2005q4	CELEBREX	20	1	0	2	
drug	CARDIOVASCULAR DISORDER	2005q4	BEXTRA	11	1	0	3	
pair	CEREBROVASCULAR ACCIDENT	2014q2		8659	287	7263	8308	179
drug	CEREBROVASCULAR ACCIDENT	2014q2	AVANDIA	6592	3	6276	1	
drug	CEREBROVASCULAR ACCIDENT	2014q2	YAZ	155	131	14	2	
drug	CEREBROVASCULAR ACCIDENT	2014q2	YASMIN	120	100	14	3	
pair	COMPLETED SUICIDE	2013q1		3038	4	84	3630	67
drug	COMPLETED SUICIDE	2013q1	ALPRAZOLAM	213	0	0	1	
drug	COMPLETED SUICIDE	2013q1	ACETAMINOPHEN\HYDROCODONE	139	0	0	2	
drug	COMPLETED SUICIDE	2013q1	ACETAMINOPHEN (PARACETAMOL)	108	0	0	3	
pair	COMPLETED SUICIDE	2014q1		3340	2	79	4203	23
drug	COMPLETED SUICIDE	2014q1	ALPRAZOLAM	244	0	0	1	
drug	COMPLETED SUICIDE	2014q1	CITALOPRAM	101	0	3	2	
drug	COMPLETED SUICIDE	2014q1	ACETAMINOPHEN (PARACETAMOL)	97	0	0	3	
pair	DEVICE EXPULSION	2011q3		4266	0	2000	2013	9
drug	DEVICE EXPULSION	2011q3	MIRENA	4257	0	1994	1	
drug	DEVICE EXPULSION	2011q3	NEXIUM	1	0	1	2	
drug	DEVICE EXPULSION	2011q3	OZURDEX	1	0	0	3	
pair	DRUG ABUSE	2013q1		2647	5	142	1525	17
drug	DRUG ABUSE	2013q1	ALPRAZOLAM	482	0	0	1	
drug	DRUG ABUSE	2013q1	DIAZEPAM	206	0	0	2	
drug	DRUG ABUSE	2013q1	ALPRAZOLAM (ALPRAZOLAM)	124	0	0	3	
pair	GASTROINTESTINAL HAEMORRHAGE	2014q1		2975	100	2185	3886	29
drug	GASTROINTESTINAL HAEMORRHAGE	2014q1	PLAVIX	1653	96	1535	1	
drug	GASTROINTESTINAL HAEMORRHAGE	2014q1	PRADAXA	521	0	462	2	
drug	GASTROINTESTINAL HAEMORRHAGE	2014q1	XARELTO	89	0	3	3	
pair	INADEQUATE ANALGESIA	2013q4		2098	1	2004	570	0
drug	INADEQUATE ANALGESIA	2013q4	BUTRANS	1467	0	1447	1	
drug	INADEQUATE ANALGESIA	2013q4	OXYCONTIN (NDA 22-272)	449	0	427	2	
drug	INADEQUATE ANALGESIA	2013q4	FENTANYL	117	0	89	3	
pair	INCORRECT DOSE ADMINISTERED	2009q3		4319	5	3263	2422	4
drug	INCORRECT DOSE ADMINISTERED	2009q3	HUMIRA	3912	0	3086	1	
drug	INCORRECT DOSE ADMINISTERED	2009q3	TAMIFLU	27	0	9	2	
drug	INCORRECT DOSE ADMINISTERED	2009q3	NIASPAN	21	0	6	3	
pair	INJECTION SITE PAIN	2007q4		3465	0	3169	2190	0
drug	INJECTION SITE PAIN	2007q4	ENBREL	2885	0	2756	1	
drug	INJECTION SITE PAIN	2007q4	HUMIRA	252	0	188	2	
drug	INJECTION SITE PAIN	2007q4	BYETTA	124	0	120	3	
pair	LOCAL SWELLING	2013q1		2298	2	1435	609	9
drug	LOCAL SWELLING	2013q1	HUMIRA 40 MG/0.8 ML PEN	333	0	294	1	
drug	LOCAL SWELLING	2013q1	ENBREL	215	0	82	2	
drug	LOCAL SWELLING	2013q1	HUMIRA	211	0	179	3	
pair	MYOCARDIAL INFARCTION	2014q2		16636	79	15121	8847	116
drug	MYOCARDIAL INFARCTION	2014q2	AVANDIA	14941	2	14239	1	
drug	MYOCARDIAL INFARCTION	2014q2	DIANEAL LOW CALCIUM	167	0	146	2	
drug	MYOCARDIAL INFARCTION	2014q2	ANDROGEL	52	40	7	3	
pair	NAUSEA	2010q3		14631	214	9405	16841	582
drug	NAUSEA	2010q3	CHANTIX	8019	12	6631	1	
drug	NAUSEA	2010q3	PRISTIQ	472	0	232	2	
drug	NAUSEA	2010q3	LYRICA	331	1	203	3	
pair	PRODUCT QUALITY ISSUE	2008q4		1706	19	980	6	0
drug	PRODUCT QUALITY ISSUE	2008q4	ISOSORBIDE MONONITRATE	195	1	170	1	
drug	PRODUCT QUALITY ISSUE	2008q4	MORPHINE SULFATE	91	7	73	2	
drug	PRODUCT QUALITY ISSUE	2008q4	PROAIR HFA	75	1	36	3	
pair	TARDIVE DYSKINESIA	2011q3		6393	5972	276	6239	5454
drug	TARDIVE DYSKINESIA	2011q3	METOCLOPRAMIDE	4840	4583	203	1	
drug	TARDIVE DYSKINESIA	2011q3	METOCLOPRAMIDE HYDROCHLORIDE	1390	1359	28	2	
drug	TARDIVE DYSKINESIA	2011q3	SEROQUEL	46	7	18	3	
pair	TYPE 2 DIABETES MELLITUS	2014q1		3676	3124	114	1041	147
drug	TYPE 2 DIABETES MELLITUS	2014q1	LIPITOR	3132	3124	8	1	
drug	TYPE 2 DIABETES MELLITUS	2014q1	CRESTOR	338	0	1	2	
drug	TYPE 2 DIABETES MELLITUS	2014q1	FOSAMAX	20	0	15	3	
