T	Q	N	ISR_NN	ISR_D	PID_NN	PID_D	PAIR_D
INDI	2004q1	78639	78639	51073	0	0	78639
INDI	2004q2	79346	79346	48698	0	0	79346
INDI	2004q3	95140	95140	59623	0	0	95140
INDI	2004q4	97074	97074	55565	0	0	97074
INDI	2005q1	106726	106726	59477	0	0	106726
INDI	2005q2	124249	124249	64308	0	0	124249
INDI	2005q3	116497	116497	62700	0	0	116497
INDI	2005q4	113407	113407	62682	0	0	113407
INDI	2006q1	130111	130111	71916	0	0	130111
INDI	2006q2	121313	121313	66072	0	0	121313
INDI	2006q3	110897	110897	59837	0	0	110897
INDI	2006q4	120745	120745	65854	0	0	120745
INDI	2007q1	130756	130756	70932	0	0	130756
INDI	2007q2	135550	135550	67638	0	0	135550
INDI	2007q3	141303	141303	72682	0	0	141303
INDI	2007q4	171634	171634	90974	0	0	171634
INDI	2008q1	176915	176915	84206	0	0	176915
INDI	2008q2	181523	181523	86049	0	0	181523
INDI	2008q3	197699	197699	90726	0	0	197699
INDI	2008q4	213404	213404	102311	0	0	213404
INDI	2009q1	208391	208391	90408	0	0	208391
INDI	2009q2	224985	224985	94243	0	0	224985
INDI	2009q3	275655	275655	107822	0	0	275655
INDI	2009q4	248474	248474	115227	0	0	248474
INDI	2010q1	255945	255945	114571	0	0	255945
INDI	2010q2	277101	277101	119073	0	0	277101
INDI	2010q3	381573	381573	163611	0	0	381573
INDI	2010q4	314631	314631	151909	0	0	314631
INDI	2011q1	355008	355008	146008	0	0	355008
INDI	2011q2	350095	350095	152399	0	0	350095
INDI	2011q3	375824	375824	158699	0	0	375824
INDI	2011q4	362256	362256	174539	0	0	362256
INDI	2012q1	453398	453398	190581	0	0	453398
INDI	2012q2	394317	394317	177969	0	0	394317
INDI	2012q3	261870	261870	109879	0	0	261870
INDI	2012q4	444517	0	0	444517	199853	444516
INDI	2013q1	453964	0	0	453964	190232	453964
INDI	2013q2	330405	0	0	330405	144953	330405
INDI	2013q3	369227	0	0	369227	161632	369227
INDI	2013q4	432190	0	0	432190	206867	432190
INDI	2014q2	420506	0	0	420506	198574	420506
OUTC	2004q1	57592	57592	45221	0	0	57592
OUTC	2004q2	62217	62217	49061	0	0	62217
OUTC	2004q3	66868	66868	53891	0	0	66868
OUTC	2004q4	74040	74040	57254	0	0	74040
OUTC	2005q1	77193	77193	60820	0	0	77193
OUTC	2005q2	80866	80866	64228	0	0	80866
OUTC	2005q3	83824	83824	66514	0	0	83824
OUTC	2005q4	89580	89580	71216	0	0	89580
OUTC	2006q1	96515	96515	74282	0	0	96515
OUTC	2006q2	87399	87399	67622	0	0	87399
OUTC	2006q3	71711	71711	56886	0	0	71711
OUTC	2006q4	77321	77321	62046	0	0	77321
OUTC	2007q1	86474	86474	70126	0	0	86474
OUTC	2007q2	86533	86533	69658	0	0	86533
OUTC	2007q3	88964	88964	70297	0	0	88964
OUTC	2007q4	91537	91537	73169	0	0	91537
OUTC	2008q1	96837	96837	77720	0	0	96837
OUTC	2008q2	100663	100663	80076	0	0	100663
OUTC	2008q3	102614	102614	81289	0	0	102614
OUTC	2008q4	103131	103131	82577	0	0	103131
OUTC	2009q1	109315	109315	87848	0	0	109315
OUTC	2009q2	114105	114105	90708	0	0	114105
OUTC	2009q3	117769	117769	94481	0	0	117769
OUTC	2009q4	130230	130230	102970	0	0	130230
OUTC	2010q1	127036	127036	100817	0	0	127036
OUTC	2010q2	140773	140773	112769	0	0	140773
OUTC	2010q3	164812	164812	131845	0	0	164812
OUTC	2010q4	158424	158424	127073	0	0	158424
OUTC	2011q1	167269	167269	131679	0	0	167269
OUTC	2011q2	195384	195384	150914	0	0	195384
OUTC	2011q3	191692	191692	147655	0	0	191692
OUTC	2011q4	182057	182057	143464	0	0	182057
OUTC	2012q1	202719	202719	161054	0	0	202719
OUTC	2012q2	206540	206540	164949	0	0	206540
OUTC	2012q3	122892	122892	95597	0	0	122892
OUTC	2012q4	191699	0	0	191699	155593	191699
OUTC	2013q1	153733	0	0	153733	126159	153733
OUTC	2013q2	138634	0	0	138634	112692	138634
OUTC	2013q3	147472	0	0	147472	118480	147472
OUTC	2013q4	154451	0	0	154451	125065	154451
OUTC	2014q1	170437	0	0	170437	140178	170437
OUTC	2014q2	178144	0	0	178144	148219	178144
