-- S09 Wayback CDX table: what URL shapes it holds (digits collapsed to #), since S06 matched nothing
SHAPE | N | URLS | EX | EX_KEY | T0 | T1
https://www.justice.gov/epstein/doj-disclosures/data-set-#-files?page=# | 1505015 | 27733 | https://www.justice.gov/epstein/doj-disclosures/data-set-11-files?page=1050 | gov,justice)/epstein/doj-disclosures/data-set-11-files?page=1050 | 2025-12-19 21:19:18 | 2026-06-09 02:03:36
https://www.justice.gov/epstein/doj-disclosures/court-records-v-maxwell-no-#-cv-#-sdny-#?page=# | 5672 | 60 | https://www.justice.gov/epstein/doj-disclosures/court-records-v-maxwell-no-115-cv-07433-sdny-2015?page=43 | gov,justice)/epstein/doj-disclosures/court-records-v-maxwell-no-115-cv-07433-sdny-2015?page=43 | 2026-03-04 04:22:35 | 2026-06-09 00:10:50
https://www.justice.gov/epstein/doj-disclosures/court-records-government-united-states-virgin-islands-v-jpmorgan-chase-bank-na-no-#-cv-#-sdny-#?page=# | 3508 | 37 | https://www.justice.gov/epstein/doj-disclosures/court-records-government-united-states-virgin-islands-v-jpmorgan-chase-bank-na-no-122-cv-10904-sdny-2022?page=29 | gov,justice)/epstein/doj-disclosures/court-records-government-united-states-virgin-islands-v-jpmorgan-chase-bank-na-no-122-cv-10904-sdny-2022?page=29 | 2026-03-04 04:23:27 | 2026-06-09 00:10:39
https://www.justice.gov/epstein/doj-disclosures/court-records-epstein-v-rothstein-no-#-#-ca-#-xxxx-mb-fla-#th-cir-ct-#?page=# | 2756 | 29 | https://www.justice.gov/epstein/doj-disclosures/court-records-epstein-v-rothstein-no-50-2009-ca-040800-xxxx-mb-fla-15th-cir-ct-2009?page=9 | gov,justice)/epstein/doj-disclosures/court-records-epstein-v-rothstein-no-50-2009-ca-040800-xxxx-mb-fla-15th-cir-ct-2009?page=9 | 2026-03-04 04:20:49 | 2026-06-09 00:10:32
https://www.justice.gov/epstein/doj-disclosures/court-records-united-states-v-maxwell-no-#-cr-#-sdny-#?page=# | 2004 | 21 | https://www.justice.gov/epstein/doj-disclosures/court-records-united-states-v-maxwell-no-120-cr-00330-sdny-2020?page=14 | gov,justice)/epstein/doj-disclosures/court-records-united-states-v-maxwell-no-120-cr-00330-sdny-2020?page=14 | 2026-03-04 04:23:17 | 2026-06-09 00:10:27
https://www.justice.gov/epstein/doj-disclosures/court-records-doe-no-#-v-epstein-no-#-cv-#-sd-fla-#?page=# | 1843 | 19 | https://www.justice.gov/epstein/doj-disclosures/court-records-doe-no-4-v-epstein-no-908-cv-80380-sd-fla-2008?page=1 | gov,justice)/epstein/doj-disclosures/court-records-doe-no-4-v-epstein-no-908-cv-80380-sd-fla-2008?page=1 | 2026-03-04 04:21:40 | 2026-06-09 00:10:11
https://www.justice.gov/epstein/doj-disclosures/court-records-doe-v-epstein-no-#-cv-#-sd-fla-#?page=# | 1722 | 18 | https://www.justice.gov/epstein/doj-disclosures/court-records-doe-v-epstein-no-908-cv-80119-sd-fla-2008?page=4 | gov,justice)/epstein/doj-disclosures/court-records-doe-v-epstein-no-908-cv-80119-sd-fla-2008?page=4 | 2026-03-04 04:23:21 | 2026-06-09 00:10:25
https://www.justice.gov/epstein/doj-disclosures/data-set-#-files | 1622 | 40 | https://www.justice.gov/epstein/doj-disclosures/data-set-1-files | gov,justice)/epstein/doj-disclosures/data-set-1-files | 2025-12-19 21:13:27 | 2026-06-09 00:10:03
https://www.justice.gov/epstein/doj-disclosures/court-records-doe-v-united-states-no-#-cv-#-sd-fla-#?page=# | 1346 | 14 | https://www.justice.gov/epstein/doj-disclosures/court-records-doe-v-united-states-no-908-cv-80736-sd-fla-2008?page=11 | gov,justice)/epstein/doj-disclosures/court-records-doe-v-united-states-no-908-cv-80736-sd-fla-2008?page=11 | 2026-03-04 04:21:05 | 2026-06-09 00:10:25
https://www.justice.gov/epstein/doj-disclosures/court-records-doe-v-indyke-no-#-cv-#-sdny-#?page=# | 873 | 9 | https://www.justice.gov/epstein/doj-disclosures/court-records-doe-v-indyke-no-119-cv-08673-sdny-2019?page=1 | gov,justice)/epstein/doj-disclosures/court-records-doe-v-indyke-no-119-cv-08673-sdny-2019?page=1 | 2026-03-04 04:21:42 | 2026-06-09 00:10:12
https://www.justice.gov/epstein/doj-disclosures/court-records-v-indyke-no-#-cv-#-sdny-#?page=# | 873 | 9 | https://www.justice.gov/epstein/doj-disclosures/court-records-v-indyke-no-119-cv-10475-sdny-2019?page=2 | gov,justice)/epstein/doj-disclosures/court-records-v-indyke-no-119-cv-10475-sdny-2019?page=2 | 2026-03-04 04:21:02 | 2026-06-09 00:10:16
https://www.justice.gov/epstein/doj-disclosures/court-records-doe-no-#-v-epstein-no-#-cv-#-sd-fla-# | 819 | 8 | https://www.justice.gov/epstein/doj-disclosures/court-records-doe-no-101-v-epstein-no-909-cv-80591-sd-fla-2009 | gov,justice)/epstein/doj-disclosures/court-records-doe-no-101-v-epstein-no-909-cv-80591-sd-fla-2009 | 2026-02-22 10:10:45 | 2026-06-09 00:10:03
https://www.justice.gov/epstein/doj-disclosures/court-records-v-indyke-no-#-cv-#-sdny-# | 509 | 5 | https://www.justice.gov/epstein/doj-disclosures/court-records-v-indyke-no-119-cv-10476-sdny-2019 | gov,justice)/epstein/doj-disclosures/court-records-v-indyke-no-119-cv-10476-sdny-2019 | 2026-02-25 16:42:01 | 2026-06-09 00:10:04
https://www.justice.gov/epstein/doj-disclosures/court-records-state-florida-v-epstein-no-#-#-cf-#-axxx-mb-fla-#th-cir-ct-#?page=# | 485 | 5 | https://www.justice.gov/epstein/doj-disclosures/court-records-state-florida-v-epstein-no-50-2008-cf-009381-axxx-mb-fla-15th-cir-ct-2008?page=1 | gov,justice)/epstein/doj-disclosures/court-records-state-florida-v-epstein-no-50-2008-cf-009381-axxx-mb-fla-15th-cir-ct-2008?page=1 | 2026-03-04 04:23:30 | 2026-06-09 00:10:17
https://www.justice.gov/epstein/doj-disclosures/court-records-jane-doe-#-v-epstein-no-#-cv-#-sdny-#?page=# | 485 | 5 | https://www.justice.gov/epstein/doj-disclosures/court-records-jane-doe-43-v-epstein-no-117-cv-00616-sdny-2017?page=1 | gov,justice)/epstein/doj-disclosures/court-records-jane-doe-43-v-epstein-no-117-cv-00616-sdny-2017?page=1 | 2026-03-04 04:23:41 | 2026-06-09 00:10:15
https://www.justice.gov/epstein/doj-disclosures/court-records-ca-florida-holdings-llc-publisher-palm-beach-post-v-aronberg-no-#-#-ca-#-xxxx-mb?page=# | 485 | 5 | https://www.justice.gov/epstein/doj-disclosures/court-records-ca-florida-holdings-llc-publisher-palm-beach-post-v-aronberg-no-50-2019-ca-014681-xxxx-mb?page=3 | gov,justice)/epstein/doj-disclosures/court-records-ca-florida-holdings-llc-publisher-palm-beach-post-v-aronberg-no-50-2019-ca-014681-xxxx-mb?page=3 | 2026-03-04 04:23:25 | 2026-06-09 00:10:10
https://www.justice.gov/epstein/doj-disclosures/court-records-united-states-v-maxwell-no-#-#-#d-cir-# | 410 | 4 | https://www.justice.gov/epstein/doj-disclosures/court-records-united-states-v-maxwell-no-21-0770-2d-cir-2021 | gov,justice)/epstein/doj-disclosures/court-records-united-states-v-maxwell-no-21-0770-2d-cir-2021 | 2026-02-22 17:05:28 | 2026-06-09 00:10:05
https://www.justice.gov/epstein/doj-disclosures/court-records-doe-v-indyke-no-#-cv-#-sdny-# | 408 | 4 | https://www.justice.gov/epstein/doj-disclosures/court-records-doe-v-indyke-no-120-cv-02365-sdny-2020 | gov,justice)/epstein/doj-disclosures/court-records-doe-v-indyke-no-120-cv-02365-sdny-2020 | 2026-02-22 13:45:50 | 2026-06-09 00:10:04
https://www.justice.gov/epstein/doj-disclosures/court-records-doe-#-v-indyke-no-#-cv-#-sdny-#?page=# | 390 | 4 | https://www.justice.gov/epstein/doj-disclosures/court-records-doe-1000-v-indyke-no-119-cv-10577-sdny-2019?page=1 | gov,justice)/epstein/doj-disclosures/court-records-doe-1000-v-indyke-no-119-cv-10577-sdny-2019?page=1 | 2026-03-03 23:42:50 | 2026-06-09 00:10:10
https://www.justice.gov/epstein/doj-disclosures | 327 | 1 | https://www.justice.gov/epstein/doj-disclosures | gov,justice)/epstein/doj-disclosures | 2025-12-19 21:14:48 | 2026-06-09 00:10:02
https://www.justice.gov/epstein/doj-disclosures/court-records-doe-v-epstein-no-#-cv-#-sd-fla-# | 306 | 3 | https://www.justice.gov/epstein/doj-disclosures/court-records-doe-v-epstein-no-908-cv-80069-sd-fla-2008 | gov,justice)/epstein/doj-disclosures/court-records-doe-v-epstein-no-908-cv-80069-sd-fla-2008 | 2026-02-25 16:59:29 | 2026-06-09 00:10:03
