-- S11 Wayback CDX, data-set listing pages only: per data set and week, captures, distinct pages, highest page number captured, status mix
DS | WK | CAPTURES | PAGES | MAX_PG | MAX_PG_200 | S200 | S3XX | S4XX | S5XX | S_OTHER
1 | 2025-12-15 | 129 | 55 | 100 | 100 | 63 | 0 | 66 | 0 | 0
1 | 2025-12-22 | 31 | 12 | 62 | 62 | 23 | 0 | 8 | 0 | 0
1 | 2025-12-29 | 7 | 3 | 31 | 0 | 3 | 0 | 4 | 0 | 0
1 | 2026-01-05 | 5 | 3 | 30 | 25 | 3 | 0 | 2 | 0 | 0
1 | 2026-01-12 | 67 | 64 | 63 | 0 | 4 | 0 | 63 | 0 | 0
1 | 2026-01-26 | 21 | 10 | 63 | 8 | 11 | 0 | 10 | 0 | 0
1 | 2026-02-02 | 23 | 12 | 30 | 30 | 19 | 0 | 4 | 0 | 0
1 | 2026-02-09 | 9 | 3 | 63 |  | 3 | 0 | 6 | 0 | 0
1 | 2026-02-16 | 6 | 3 | 62 | 59 | 4 | 0 | 1 | 0 | 1
1 | 2026-02-23 | 1 | 0 |  |  | 1 | 0 | 0 | 0 | 0
1 | 2026-03-02 | 78 | 63 | 62 | 62 | 67 | 0 | 11 | 0 | 0
1 | 2026-03-09 | 516 | 63 | 62 | 62 | 513 | 1 | 2 | 0 | 0
1 | 2026-03-16 | 451 | 63 | 62 | 62 | 451 | 0 | 0 | 0 | 0
1 | 2026-03-23 | 448 | 63 | 62 | 62 | 448 | 0 | 0 | 0 | 0
1 | 2026-03-30 | 460 | 63 | 62 | 62 | 450 | 0 | 10 | 0 | 0
1 | 2026-04-06 | 449 | 63 | 62 | 62 | 448 | 0 | 1 | 0 | 0
1 | 2026-04-13 | 448 | 63 | 62 | 62 | 448 | 0 | 0 | 0 | 0
1 | 2026-04-20 | 450 | 63 | 62 | 62 | 449 | 1 | 0 | 0 | 0
1 | 2026-04-27 | 448 | 63 | 62 | 62 | 448 | 0 | 0 | 0 | 0
1 | 2026-05-04 | 459 | 74 | 90 | 90 | 459 | 0 | 0 | 0 | 0
1 | 2026-05-11 | 451 | 63 | 62 | 62 | 451 | 0 | 0 | 0 | 0
1 | 2026-05-18 | 448 | 63 | 62 | 62 | 448 | 0 | 0 | 0 | 0
1 | 2026-05-25 | 460 | 63 | 62 | 62 | 451 | 0 | 9 | 0 | 0
1 | 2026-06-01 | 384 | 63 | 62 | 62 | 384 | 0 | 0 | 0 | 0
1 | 2026-06-08 | 128 | 63 | 62 | 62 | 128 | 0 | 0 | 0 | 0
2 | 2025-12-15 | 46 | 13 | 20 | 20 | 28 | 0 | 18 | 0 | 0
2 | 2025-12-22 | 14 | 7 | 10 | 10 | 12 | 0 | 2 | 0 | 0
2 | 2025-12-29 | 6 | 5 | 11 | 10 | 4 | 0 | 2 | 0 | 0
2 | 2026-01-05 | 1 | 0 |  |  | 0 | 1 | 0 | 0 | 0
2 | 2026-01-12 | 13 | 12 | 11 | 0 | 2 | 0 | 11 | 0 | 0
2 | 2026-01-19 | 2 | 0 |  |  | 1 | 0 | 1 | 0 | 0
2 | 2026-01-26 | 16 | 10 | 11 | 0 | 7 | 0 | 9 | 0 | 0
2 | 2026-02-02 | 4 | 0 |  |  | 2 | 0 | 2 | 0 | 0
2 | 2026-02-09 | 5 | 0 |  |  | 3 | 1 | 1 | 0 | 0
2 | 2026-02-16 | 1 | 0 |  |  | 1 | 0 | 0 | 0 | 0
2 | 2026-02-23 | 2 | 1 | 3 |  | 0 | 0 | 1 | 0 | 1
2 | 2026-03-02 | 25 | 12 | 11 | 11 | 16 | 0 | 9 | 0 | 0
2 | 2026-03-09 | 106 | 12 | 11 | 11 | 105 | 0 | 1 | 0 | 0
2 | 2026-03-16 | 94 | 12 | 11 | 11 | 94 | 0 | 0 | 0 | 0
2 | 2026-03-23 | 91 | 12 | 11 | 11 | 91 | 0 | 0 | 0 | 0
(304 rows; csv has all)
