dbt-fusion 2.0.0-preview.218
   Loading profiles.yml
   Started resolving packages from packages.yml
    Passed [  0.37s] test  not_null_economics__fed_usaspending_contracts_full_contract_transaction_unique_key
    Passed [  0.25s] test  not_null_economics__fed_usaspending_contracts_full_evaluated_preference_code
    Passed [  0.44s] test  not_null_economics__fed_usaspending_contracts_full_subcontracting_plan_code
    Passed [  0.25s] test  not_null_economics__fed_usaspending_contracts_full_sea_transportation_code
    Passed [  0.23s] test  not_null_economics__fed_usaspending_contracts_full_recovered_materials_sustainability_code
    Passed [  0.24s] test  not_null_economics__fed_usaspending_contracts_full_parent_award_single_or_multiple_code
    Passed [  0.23s] test  not_null_economics__fed_usaspending_contracts_full_research_code
    Passed [  0.39s] test  not_null_economics__fed_usaspending_contracts_full_dod_claimant_program_code
    Passed [  0.36s] test  not_null_economics__fed_usaspending_contracts_full_cage_code
    Passed [  0.24s] test  not_null_economics__fed_usaspending_contracts_full_awarding_sub_agency_code
    Passed [  0.28s] test  not_null_economics__fed_usaspending_contracts_full_type_of_contract_pricing_code
    Passed [  0.23s] test  not_null_economics__fed_usaspending_contracts_full_solicitation_procedures_code
    Passed [  0.24s] test  not_null_economics__fed_usaspending_contracts_full_undefinitized_action_code
    Passed [  0.22s] test  not_null_economics__fed_usaspending_contracts_full_contract_bundling_code
    Passed [  0.30s] test  not_null_economics__fed_usaspending_contracts_full_multiple_or_single_award_idv_code
    Passed [  0.23s] test  not_null_economics__fed_usaspending_contracts_full_commercial_item_acquisition_procedures_code
    Passed [  0.23s] test  not_null_economics__fed_usaspending_contracts_full_modification_number
    Passed [  0.26s] test  not_null_economics__fed_usaspending_contracts_full_funding_sub_agency_code
    Passed [  0.22s] test  not_null_economics__fed_usaspending_contracts_full_multi_year_contract_code
    Passed [  0.23s] test  not_null_economics__fed_usaspending_contracts_full_transaction_number
    Passed [  0.31s] test  not_null_economics__fed_usaspending_contracts_full_consolidated_contract_code
    Passed [  0.28s] test  not_null_economics__fed_usaspending_contracts_full_purchase_card_as_payment_method_code
    Passed [  0.24s] test  not_null_economics__fed_usaspending_contracts_full_parent_award_type_code
    Passed [  0.23s] test  not_null_economics__fed_usaspending_contracts_full_government_furnished_property_code
    Passed [  0.23s] test  not_null_economics__fed_usaspending_contracts_full_dod_acquisition_program_code
    Passed [  0.25s] test  not_null_economics__fed_usaspending_contracts_full_idv_type_code
    Passed [  0.28s] test  not_null_economics__fed_usaspending_contracts_full_local_area_set_aside_code
    Passed [  0.55s] test  not_null_economics__fed_usaspending_contracts_full_epa_designated_product_code
 Succeeded [ 31.14s] model REVIEW.lead_queue (table)
    Passed [  0.23s] test  not_null_economics__fed_usaspending_contracts_full_action_type_code
    Passed [  0.23s] test  not_null_economics__fed_usaspending_contracts_full_contract_financing_code
    Passed [  0.23s] test  not_null_economics__fed_usaspending_contracts_full_product_or_service_code
    Passed [  0.38s] test  not_null_economics__fed_usaspending_contracts_full_type_of_set_aside_code
    Passed [  0.35s] test  not_null_economics__fed_usaspending_contracts_full_recipient_zip_4_code
    Passed [  0.23s] test  not_null_economics__fed_usaspending_contracts_full_fair_opportunity_limited_sources_code
    Passed [  0.23s] test  not_null_economics__fed_usaspending_contracts_full_prime_award_transaction_place_of_performance_state_fips_code
    Passed [  0.23s] test  not_null_economics__fed_usaspending_contracts_full_contracting_officers_determination_of_business_size_code
    Passed [  0.24s] test  not_null_economics__fed_usaspending_contracts_full_parent_award_modification_number
    Passed [  0.23s] test  not_null_economics__fed_usaspending_contracts_full_recipient_fax_number
    Passed [  0.54s] test  not_null_economics__fed_usaspending_contracts_full_performance_based_service_acquisition_code
    Passed [  0.24s] test  not_null_economics__fed_usaspending_contracts_full_parent_award_agency_id
    Passed [  0.24s] test  not_null_economics__fed_usaspending_contracts_full_materials_supplies_articles_equipment_code
    Passed [  0.20s] test  not_null_economics__fed_sba_loans_naics_code
    Passed [  0.25s] test  not_null_money__debt_repayment_cliff_country_year_id
    Passed [  0.27s] test  unique_money__debt_repayment_cliff_country_year_id
    Passed [  0.23s] test  not_null_economics__fed_sba_ppp_loan_number
    Passed [  0.28s] test  not_null_economics__fed_usaspending_assistance_full_prime_award_transaction_place_of_performance_county_fips_code
    Passed [  0.28s] test  not_null_economics__fed_usaspending_assistance_full_prime_award_transaction_recipient_state_fips_code
    Passed [  0.39s] test  unique_economics__fed_sba_ppp_loan_number
    Passed [  0.30s] test  not_null_economics__fed_usaspending_assistance_full_primary_place_of_performance_country_code
    Passed [  0.34s] test  not_null_economics__fed_usaspending_assistance_full_prime_award_transaction_recipient_county_fips_code
    Passed [  0.34s] test  not_null_economics__fed_usaspending_assistance_full_funding_agency_code
    Passed [  0.15s] test  not_null_economics__fed_usaspending_assistance_full_cfda_number
    Passed [  0.17s] test  not_null_economics__fed_usaspending_assistance_full_recipient_state_code
    Passed [  0.28s] test  not_null_economics__fed_usaspending_assistance_full_modification_number
    Passed [  0.15s] test  not_null_economics__fed_usaspending_assistance_full_correction_delete_indicator_code
    Passed [  0.16s] test  not_null_economics__fed_usaspending_assistance_full_recipient_zip_last_4_code
    Passed [  0.35s] test  not_null_economics__fed_usaspending_assistance_full_record_type_code
    Passed [  0.32s] test  not_null_economics__fed_usaspending_assistance_full_recipient_zip_code
    Passed [  0.15s] test  not_null_economics__fed_usaspending_assistance_full_funding_office_code
    Passed [  0.16s] test  not_null_economics__fed_usaspending_assistance_full_awarding_agency_code
    Passed [  0.17s] test  not_null_economics__fed_usaspending_assistance_full_action_type_code
    Passed [  0.33s] test  not_null_economics__fed_usaspending_assistance_full_funding_opportunity_number
    Passed [  0.16s] test  not_null_economics__fed_usaspending_assistance_full_awarding_office_code
    Passed [  0.26s] test  not_null_economics__fed_usaspending_assistance_full_business_types_code
    Passed [  0.18s] test  not_null_economics__fed_usaspending_assistance_full_recipient_city_code
    Passed [  0.16s] test  not_null_economics__fed_usaspending_assistance_full_sai_number
    Passed [  0.19s] test  not_null_economics__fed_usaspending_assistance_full_primary_place_of_performance_code
    Passed [  0.38s] test  not_null_economics__fed_usaspending_assistance_full_recipient_country_code
    Passed [  0.17s] test  not_null_economics__fed_usaspending_assistance_full_awarding_sub_agency_code
    Passed [  0.38s] test  not_null_economics__fed_usaspending_assistance_full_funding_sub_agency_code
    Passed [  0.20s] test  not_null_economics__fed_usaspending_assistance_full_business_funds_indicator_code
    Passed [  0.18s] test  not_null_economics__fed_usaspending_assistance_full_prime_award_transaction_place_of_performance_state_fips_code
    Passed [  0.16s] test  not_null_economics__fed_usaspending_assistance_full_recipient_foreign_postal_code
    Passed [  0.22s] test  not_null_economics__fed_usaspending_assistance_full_assistance_type_code
    Passed [  0.27s] test  not_null_environment__fed_epa_echo_frs_id
    Passed [  0.25s] test  not_null_environment__fed_epa_echo_fips_code
    Passed [  1.98s] test  unique_economics__fed_usaspending_assistance_full_assistance_transaction_unique_key
    Passed [  0.48s] test  dbt_utils_unique_combination_of_columns_economics__intl_gleif_relationships_relationship_startnode_nodeid__relationship_startnode_nodeidtype__relationship_endnode_nodeid__relationship_endnode_nodeidtype__relationship_relationshiptype
    Passed [  0.64s] test  unique_environment__fed_epa_echo_frs_id
    Passed [  0.23s] test  not_null_health__fed_cms_partd_prescribers_prescriber_state_fips
    Passed [  0.23s] test  not_null_health__fed_cms_partd_prescribers_npi
    Passed [  0.50s] test  not_null_economics__intl_gleif_relationships_relationship_startnode_nodeid
    Passed [  0.26s] test  not_null_economics__intl_gleif_lei
    Passed [  0.28s] test  not_null_economics__intl_gleif_entity_legalentityevents_legalentityevent_2_group_id
    Passed [  0.29s] test  not_null_economics__intl_gleif_entity_legalentityevents_legalentityevent_4_group_id
    Passed [  0.29s] test  not_null_economics__intl_gleif_entity_legalentityevents_legalentityevent_1_group_id
    Passed [  0.12s] test  not_null_economics__intl_gleif_entity_legalentityevents_legalentityevent_3_group_id
    Passed [  0.27s] test  not_null_economics__intl_gleif_entity_legalentityevents_legalentityevent_5_group_id
    Passed [  0.24s] test  not_null_environment__fed_epa_frs_facilities_registry_id
    Passed [  0.81s] test  unique_economics__intl_gleif_lei
    Passed [  0.83s] test  unique_environment__fed_epa_frs_facilities_registry_id
    Passed [  2.45s] test  dbt_utils_unique_combination_of_columns_health__fed_cms_partd_prescribers_npi__generic_name__brand_name
    Passed [  0.80s] test  assert_lead_queue_reconciles
    Passed [  0.67s] test  assert_no_mojibake
    Passed [  0.23s] test  not_null_lead_queue_headline
    Passed [  0.28s] test  not_null_lead_queue_review_state
