source,target,tier,key,matched,match_rate
PORTAL_ARC_TUCSON_OPEN_DATA_4FB5EA68FC,PORTAL_ARC_TUCSON_OPEN_DATA_57DF097E01,STRONG,DOCKET,7,17.9
PORTAL_ARC_TUCSON_OPEN_DATA_57DF097E01,PORTAL_ARC_TUCSON_OPEN_DATA_BADE778B92,STRONG,DOCKET,7,17.9
PORTAL_ARC_TUCSON_OPEN_DATA_57DF097E01,PORTAL_ARC_TUCSON_OPEN_DATA_86A898EF77,STRONG,DOCKET,7,17.9
PORTAL_ARC_ORANGE_COUNTY_OP_05390F8D55,PORTAL_ARC_ORANGE_COUNTY_OP_41E4E2185F,STRONG,SIC,4,19.0
PORTAL_SOC_UTAH_OPEN_DATA_P_124AD2A7E9,PORTAL_SOC_UTAH_OPEN_DATA_P_7186EDB84B,GEO,ZIP,3,25.0
PORTAL_ARC_TUCSON_OPEN_DATA_90C091B01B,PORTAL_ARC_TUCSON_OPEN_DATA_EC706EAD4C,STRONG,DOCKET,23,18.0
PORTAL_SOC_UTAH_OPEN_DATA_P_5A037856FE,PORTAL_SOC_UTAH_OPEN_DATA_P_D769AFDABA,STRONG,NAICS,21,17.6
FED_EPA_ECHO,PORTAL_ARC_OPEN_DATA_DC_B1DAECCB1B,CORROBORATED,NAME@ZIP,20,32.3
FED_EPA_ECHO,PORTAL_ARC_OPEN_DATA_DC_E28C8C471A,CORROBORATED,NAME@ZIP,20,32.3
PORTAL_SOC_UTAH_OPEN_DATA_P_267ABEE380,PORTAL_SOC_UTAH_OPEN_DATA_P_D4ACA49A9B,GEO,ZIP,19,18.8
PORTAL_SOC_TEXAS_OPEN_DATA_38B5253053,PORTAL_SOC_UTAH_OPEN_DATA_P_728FDA9FB7,STRONG,NAICS,17,17.5
PORTAL_SOC_TEXAS_OPEN_DATA_38B5253053,PORTAL_SOC_UTAH_OPEN_DATA_P_99D27E2813,STRONG,NAICS,17,17.5
PORTAL_ARC_ATLANTA_DATAATLA_51A606F539,PORTAL_SOC_AUSTIN_OPEN_DATA_B5E56C7A67,STRONG,NAICS,9,17.6
FED_CMS_HCRIS,PORTAL_ARC_ORANGE_COUNTY_OP_41E4E2185F,GEO,ZIP,5,31.2
PORTAL_ARC_TUCSON_OPEN_DATA_90CC86DC8C,PORTAL_ARC_TUCSON_OPEN_DATA_B8BE43CF1C,STRONG,DOCKET,130,17.6
FED_FARA_BULK,PORTAL_ARC_LA_COUNTY_OPEN_D_92EFBD96E7,GEO,ZIP,27,23.1
